Speaker,Arabic (AR)
Ushiromiya Eva,"""ﺛﻼﺙ ﺃﺷﻬﺮ ﻟﻴﻌﻴﺶ. ﻟﻘﺪ ﻗﻠﺘﻬﺎ ﺍﻟﻌﺎﻡ ﺍﻟﻤﺎﺿﻲ ﺃﻳﻬﺎ ﺍﻟﻄﺒﻴﺐ ﻧﺎﻧﺠﻮ..."""
Nanjo Terumasa,"""......ﻗُـ-ﻗﻠﺖ ﺫﻟﻚ ﺑﻨﺎﺀً ﻋﻠﻰ ﺗﺤﻠﻴﻠﻲ ﺍﻟﺸﺎﻣﻞ ﻟﺤﺎﻟﺘﻪ ﺍﻟﺠﺴﺪﻳﺔ ﻓﻲ ﺫﻟﻚ ﺍﻟﻮﻗﺖ. ﻭﺑﺎﻟﺮﻏﻢ ﻣﻦ ﺻﺤﺔ ﻛﻼﻣﻲ، ﺇﻻ ﺃﻧﻨﻲ ﺗﻔﺎﺟﺄﺕ ﺃﻳﻀًﺎ ﻫﺬﺍ ﺍﻟﻌﺎﻡ-"""
Ushiromiya Rudolf,"""ﺇﺫًﺍ ﺭﻏﻢ ﻋﺪﻡ ﻳﻘﻴﻨﻚ ﻣﻦ ﻋﻴﺶ ﺃﺑﻲ ﺣﺘﻰ ﻧﻬﺎﻳﺔ ﻫﺬﻩ ﺍﻟﺴﻨﺔ، ﺇﻻ ﺃﻧّﻪ ﻻ ﻳﺰﺍﻝ ﻳﺮﻛﺰ ﺗﻤﺎﻣًﺎ ﻋﻠﻰ ﺃﺑﺤﺎﺛﻪ ﺍﻟﻐﺎﻣﻀﺔ. ﻭﺭﻏﻢ ﻫﺬﺍ ﺗﻘﻮﻝ ﺃﻧّﻪ ﻟﻢ ﻳﺘﺒﻖ ﻟﻪ ﺳﻮﻯ ﺛﻼﺛﺔ ﺃﺷﻬﺮ ﻟﻴﻌﻴﺸﻬﺎ؟"""
Nanjo Terumasa,"""ﻛـ-ﻛﻤﺎ ﻗﻠﺖ، ﻛﻴﻨﺰﻭ-ﺳﺎﻥ-"""
Ushiromiya Krauss,"""ﺃﻻ ﻳﻨﺒﻐﻲ ﺃﻥ ﺗﻜﻮﻧﻮﺍ ﺳﻌﺪﺍﺀ ﻷﻥ ﻭﺍﻟﺪﻧﺎ ﺍﻟﻤﺤﺘﺮﻡ ﻻ ﻳﺰﺍﻝ ﻓﻲ ﺭﻭﺡٍ ﻣﻌﻨﻮﻳﺔٍ ﻋﺎﻟﻴﺔ؟ ﺃﻧﺎ ﺃﻋﻲ ﺃﻥّ ﺭﻏﺒﺘﻜﻢ ﻓﻲ ﺭﺅﻳﺔ ﻭﺍﻟﺪﻱ ﻭﺗﺤﻴﺘﻪ، ﻧﺎﺑﻌﺔ ﻣﻦ ﻣﻨﻄﻠﻖ ﺑﺮِّﻛﻢ ﺑﻪ. ﻻ ﻳﺴﻌﻨﻲ ﺇﻻ ﺭﺅﻳﺔ ﺍﻟﺤﺰﻥ ﻋﻠﻰ ﻣﻼﻣﺤﻜﻢ ﺇﺛﺮ ﺭﻓﻀﻪ ﻣﻘﺎﺑﻠﺘﻜﻢ."""
Ushiromiya Natsuhi,"""...ﺇﻧّﻜﻢ ﺟﻤﻴﻌًﺎ ﻫﻨﺎ ﻃﻤﻌًﺎ ﻓﻲ ﺗﻘﺴﻴﻢ ﺍﻟﻤﻴﺮﺍﺙ، ﻭﺩﻭﻥ ﺧﺠﻞٍ ﺗﻨﺎﻗﺸﻮﻥ ﺫﻟﻚ ﻓﻲ ﻭﺿﺢ ﺍﻟﻨﻬﺎﺭ. ﺃﻧﺎ ﺃﺗﻔﻬﻢ ﺗﻤﺎﻣًﺎ ﻋﺪﻡ ﺭﻏﺒﺔ ﻭﺍﻟﺪﻱ ﻓﻲ ﻟﻘﺎﺋﻜﻢ."""
Ushiromiya Rosa,"""ﺃ-ﺃﻧﺖِ ﺗﺴﻴﺌﻴﻦ ﺍﻟﻔﻬﻢ ﻳﺎ ﺃﺧﺘﻲ ﻧﺎﺗﺴﻮﻫﻲ. ......ﻧﺤﻦ ﻓﻘﻂ، ﻫﻤﻢ-"""
Ushiromiya Rudolf,"""ﺃﺑﻲ ﻟﻴﺲ ﺧﺎﻟﺪًﺍ، ﻭﺳﺘﺤﻴﻦ ﺳﺎﻋﺔ ﻭﻓﺎﺗﻪ {i:ﻳﻮﻣًﺎ ﻣﺎ}. ﻧﺤﻦ ﻻ ﻧﻘﻮﻝ ﺃﻧﻪ ﻳﺠﺐ ﺃﻥ ﻳﻤﻮﺕ، ﻧﺤﻦ ﻓﻘﻂ ﻧﻘﻮﻝ ﺃﻧﻪ ﺳﻴﻤﻮﺕ {i:ﻳﻮﻣًﺎ ﻣﺎ}. ﻧﺮﻳﺪ ﺍﻟﻨﻘﺎﺵ ﺍﺳﺘﻌﺪﺍﺩً ﻟﻤﺎ ﺑﻌﺪ ﻣﻮﺗﻪ ﺍﻟﺬﻱ ﺳﻴﺤﻴﻦ ﻓﻲ ﺃﻱّ ﻟﺤﻈﺔ."""
Ushiromiya Natsuhi,"""ﻭﻫﺬﺍ ﺑﺎﻟﻀﺒﻂ ﻣﺎ ﺃﻋﺘﺒﺮﻩ ﻗﻠﺔ ﺍﺣﺘﺮﺍﻡ!!"""
Ushiromiya Krauss,"""ﻫﺬﺍ ﻳﻜﻔﻲ. ﺳﺘﺰﻳﺪﻳﻦ ﺣﺪﺓ ﺻﺪﺍﻋﻚ."""
