Speaker,Spanish (ES)
,"Me convertí en la princesa de la fiesta de Halloween, y para mí, el torneo de preguntas y acertijos tan solo comenzaba."
,Parece ser que obtengo una medalla por cada puzle que resuelva.
,"Si obtengo un montón, se supone que conseguiré un estupendo premio del abuelo."
,"Bien, allá voy."
Ushiromiya Ange,"""¿Por quién debería empezar?"""
Ushiromiya Eva,"""No creo que importe. Empieza por quien quieras."""
Ushiromiya Rudolf,"""Será mejor que me invente un puzle fatal mientras tenga oportunidad."""
Ushiromiya Rosa,"""María, ¿tú no tenías un libro de acertijos en la mochila?"""
Ushiromiya Maria,"""¡Uu-! ¡Sí! ¡Kijijijijiji, machacaré a Ange con uno difícil!..."""
,María onee-chan rió con una sonrisa maligna.
,Parece que todos lo van a intentar y tratarán de intimidarme. Seguro que pensarán en preguntas realmente difíciles.
Ushiromiya Eva,"""No te preocupes, yo te echaré una mano."""
Ushiromiya Ange,"""¿De verdad?..."""
Ushiromiya Eva,"""Claro. Después de todo, soy la ayudante de la princesa. Así que, demos lo mejor de nosotras y consigamos un montón de medallas."""
Ushiromiya Ange,"""¡Bien!..."""
Gohda Toshiro,"""Bien, Ange-sama. Empiece por donde guste. Yo, Gohda, estoy preparado para desafiarla cuando quiera."""
Ushiromiya Kinzo,"""Eh, no tan rápido. El honor de la primera audiencia con la princesa me pertenece. ¡Ange, comienza con mi reto!..."""
Ushiromiya Ange,"""¡B-Bien!"""
,"De repente me puse tensa, y me empezó a apretar el estómago."
,"Entonces, Eva oba-san me agarró cuidadosamente de la mano."
Ushiromiya Eva,"""Todo irá bien. ¡Hagámoslo juntas!"""
Ushiromiya Ange,"""¡S-Sí!"""
Ushiromiya Kinzo,"""Entonces empecemos, Ange. Esta es una historia sobre el 25 de diciembre, el día de Navidad."""
Ushiromiya Ange,"""¿Navidad?..."""
,"Incluso a pesar de estar en octubre, de repente había empezado a hablar de la Navidad.{n}¿Va a preguntar cuál es el día de Navidad?"
,Eso lo sé. Es el 25 de diciembre.
Ushiromiya Kinzo,"""Mientras miraba el cielo nocturno en navidad, una mujer dijo: ""En algún momento, la noche terminará, y el amanecer llegará. ¿No sería maravilloso si, después de que el sol se ocultase y se hiciera de noche de nuevo, fuera otra vez Navidad?"" Y entonces, el hombre a su lado dijo: ""De acuerdo, haré que se cumpla tu sueño."" ¿Es esto posible?..."""
Ushiromiya Ange,"""El día después de Navidad es el 26, un día normal. Eso es imposible."""
Ushiromiya Eva,"""... Aún en Navidad, incluso después de que amanezca... Oh, lo tengo."""
Ushiromiya Ange,"""¿Eh? ¡¿Cómo?! ¡¿Cómo puede el día después de Navidad volver a ser Navidad?!"""
Ushiromiya Kinzo,"""Wajjajajajaja. Piénsalo por ti misma, Ange."""
