Speaker,Original Witch Hunt (OG)
,"""Rumor has it, Ange-chan, that you jumped off the top of a skyscraper?"""
Ushiromiya Ange,"""The groupies were getting annoying, so I thought I'd give them the slip."""
,"Ange and an old gentleman wearing an expensive suit were alone in a massive, modern conference room."
,"All of the newest machines for presentations were installed there, but they didn't upset the refined and composed atmosphere in the conference room, and that alone was enough to make the business-like theme of the room abundantly clear."
,"However, that didn't matter at all to Ange."
,"She carelessly sat on a high-class chair that executives making a salary of several ten million yen probably sat in, looking aloof from the world."
Ushiromiya Ange,"""It's because I knew that they were remodeling downstairs and that there was a safety net below."""
,"Ange talked about it like it was no big deal, but in reality, it was a 'miracle' among miracles."
,"To think that she had shot through several layers of safety netting for the remodeling project, been caught in a multi-colored banner adorning the atrium and slipped off, ...only to be softly caught by a final banner and to land on the ground without a scratch, then briskly leave that place..., it put Hong Kong movies to shame."
,"""Whether you knew there was a net or not, even so, it was a 200 meters tall super-skyscraper, right?  If things hadn't gone as you planned, there'd be a mess to deal with now."""
Ushiromiya Ange,"""......I figured that if I died, then I'd be dead and that's it, more or less.  Well, still, I was testing my luck a bit.  It's all because of my youthful zeal."""
,"As though saying that she'd had enough of that topic, Ange shrugged coldly."
,"Seeing that, the old gentleman, who was looking at the world below through a crack in the blinds, cackled."
,"""So, you were testing your luck...!  My, my, you truly are Kinzo-san's grandchild.  The nerve to trust your life to chance.  ...The Chairman was also a person who could stake her life on a bet like it was nothing, so is this the Ushiromiya blood as well?"
,"  ......You really will be something big in the future.  I won't say anything bad.  Why not give up this running away from home act and return to the Sumadera family?"""
Ushiromiya Ange,"""I heard that Mom had a bad relationship with her family.  I don't want to go to the house of people I first met at a funeral."""
,"The Sumadera family was her mother's family."
,"It was a bit of an old family from Kyoto, and compared to Mom's frank appearance, unbelievably strict."
,"The only person in the Sumadera family I had been on good terms with was Grandpa, who was living separately under the guise of retirement."
,"Mom also interacted only with Grandpa, but she hadn't interacted with the rest of the family at all, almost hostilely so."
,"I also only went to Grandpa's house whenever I went to play at the Sumadera family."
,"When I was young, I hadn't really understood it at the time, but I hear that Grandpa, as a man who married into his wife's family, was in an extremely weak position, and his relationship with Grandma was also bad."
,"...Maybe you could even say that he was actually hated by Grandma, and confined to the house."
,"It isn't hard to imagine that because she had a soft spot for Grandpa alone, Mom was probably also hated by the Sumadera family."
,"As her daughter, I was probably also hated quite a bit."
,"And yet, they had appeared for the first time at Mom's funeral, shamelessly going on about how big I'd gotten, like they could actually act like family after all this time..."
,"After Eva oba-san's death, I would inherit all of the wealth of the Ushiromiya family."
,"If that hadn't been their goal, there's no way they would have been able to say such disgusting words."
,"""......Well, it's not as though I cannot understand your desire for self-abandonment Ange-chan, now that you're all alone."""
Ushiromiya Ange,"""It isn't self-abandonment.  It's just that, now that that annoying Eva oba-san has finally kicked the bucket, I'm taking a carefree stroll.  ......Everyone else is just making too big a deal out of it."""
,"Of course everyone's goal is the vast Ushiromiya wealth I bear."
,"They must think that if they can become my guardians, they will be able to do as they please with that wealth."
,"Just how many people have tried to act like a substitute parent and get close to me?"
,"""You too, Ange-chan.  If there is anything painful for you, please talk with me, if that will help, alright?  Because I think of you as my true grandchild, Ange-chan."""
Ushiromiya Ange,"""........................Haah.  ...Let's say no thank you for now.  ...More importantly, let's return to what we were talking about."""
,"""Ange-chan.  No matter how many times I am asked, there is nothing that I am hiding.  The Chairman was the only survivor on Rokkenjima that day.  That Chairman passed away without saying anything.  "
,"I myself understand nothing.  Everything is wrapped in darkness, you see."""
,"The old gentleman was one of those leaders who, after Eva had passed away, had been entrusted with the business group she had built up."
,"The one he called Chairman was the former Chairman, Ushiromiya Eva."
,"His company had once had a friendly relationship with Hideyoshi's company, and he had had a close relationship with both Hideyoshi and Eva."
,"For that reason, after Eva lost Hideyoshi, he had become the only person to which Eva would have let her true intentions slip."
,"When Eva's heart had been torn by the loss of her family, and she had taken it out on Ange, he had acted as a buffer between the two, so although Ange didn't trust him, she found him a very easy person to question..."
,"""That crime was, ...no, that accident.  If I call it a crime, I'll get in trouble.  ...I have the same questions about that as the public and the talk shows."""
Ushiromiya Ange,"""......At the time of the accident, why was Eva oba-san in a place 2 kilometers away from the mansion, all alone?  And on the night of a storm."""
,"""At the time, Kinzo-san was unsure as to who he would choose to be the next successor.  ......It was publicly the eldest son, Krauss-san, but he was not well trusted by Kinzo-san."""
Ushiromiya Ange,"""......And to fairly determine a successor from among the four siblings, he made this game-like test called the riddle of the epitaph...?"""
,"""That's how it was on the outside.  ......Kinzo-san probably planned to make Eva-san the successor to the head from the beginning."
,"  He wanted to withdraw his own rule that the eldest son be the successor, and instead of Krauss-san, leave the family to the extremely diligent and brilliant Eva-san."
,"...The new rule about giving the inheritance to the one who solved the epitaph was probably nothing more than a farce to steal the position of the next head from Krauss-san."""
Ushiromiya Ange,"""What do you mean...by farce?"""
,"""There was no need for anyone to solve that epitaph.  Once it had been displayed for an appropriate amount of time, Kinzo-san would just call Eva-san, who he truly wanted to succeed him,and give her that answer.  In other words, that itself was the proof of the succession to the headship."""
Ushiromiya Ange,"""..................They haven't talked about this on the talk shows, have they?"""
,"""Well, that's because if you go on and on about the succession of the head, the conspiracy theories will start to prevail too much.  I'm no fool myself.  I won't go out of my way to say things that could invite misunderstandings, you see?"""
,"This was his theory."
,"At the time, in the Ushiromiya family, the head Kinzo, whose remaining life was announced to be short, was troubled over the problem of who was to succeed him."
,"Normally, the successor would be fixed as the oldest son, Krauss, who Kinzo had chosen himself."
,"...But in his later years, Kinzo began to think that Eva was more fitting to be head."
,"However, Kinzo, who was stubborn even to himself, was blocked by the title of next head that he had given to Krauss,searched for an official stance by which he could skip over Krauss and select Eva as the next head."
,"That official stance was the riddle of the epitaph."
,"The primary successor was still Krauss, but there was a new rule, saying that if someone appeared who could solve the riddle, they would be chosen as the successor to the head."
,"And on what would probably be his final family conference, Kinzo had told Eva that riddle himself."
,"......In short, it was the same as proclaiming that Eva herself was the next head."
,"""On that day, Eva-san was called by Kinzo-san, and that was revealed to her.  And so that she could succeed the head, he called Eva-san to the hidden mansion Kuwadorian, which only the head knew about."""
Ushiromiya Ange,""".........And because Eva oba-san arrived at the hidden mansion one step ahead, she escaped harm in that accident, you say?  Maybe Eva oba-san just killed everyone and made it look like an accident so that she could steal all of the wealth, and that's why only she escaped unharmed."""
,"""Well, that's what the papers are shouting about.  However, I believe Eva-san.  ......I think there are several points worth trusting."""
Ushiromiya Ange,"""For example...?"""
,"""That ring of the Ushiromiya family head, which is on your finger now, Ange-chan.  That ring is the only one of its kind in the world, which Kinzo-san had made specially.  And the artisan who made it acknowledges that the object on your finger is, without a doubt, that ring."""
,"The Ushiromiya family...Head's Ring."
,"That ring, with the heft of gold and the one-winged seal on it, had a diamond arranged on a pedestal, and felt both sturdy and reminiscent of the dark hobbies of the rich."
,"Kinzo had worn that on his finger without removing it even for a moment."
,"He was saying that the fact that Eva had it was proof that Kinzo had acknowledged her as the successor to the head."
,"""Because Eva-san certainly had that ring.  And, if you take into consideration that Eva-san was actually superior, and that Krauss-san had made a fool of himself several times on the business scene, I cannot imagine that Eva-san's story is completely made up."""
Ushiromiya Ange,"""............Although there's the possibility that she murdered Grandfather in order to steal that ring.  Then Eva oba-san, using some kind of trick, massacred everyone and made it look like an accident."""
,"""Ah, yes.  It seems the papers were saying something about her massacring everyone with keeping all the wealth to herself as a goal.  "
,"Certainly, when it comes to this, Eva-san was the most drastic person here.  Possibly, ......she might have committed murder just once in her life to grab this chance to have the Ushiromiya family wealth all to herself.  ............But you know, I don't think that's true."""
Ushiromiya Ange,"""And the second point worth trusting?"""
,"""Eva-san's family.  Hideyoshi-san and George-kun.  ......It might be difficult for you to believe all of a sudden, Ange-chan, but Eva-san was a person who treasured her family greatly."""
,"......I really didn't want to believe it all of a sudden, so I didn't want to accept it.But I did understand vaguely."
,"Eva oba-san certainly had been a person who highly treasured her family."
,"The root of her twisted personality had been nothing more than the sadness of losing her beloved husband and son."
,"Even though, after getting hit with her angry outbursts as she tried to distract herself from that pain, I have no feelings of sympathy at all, ......even so, it's not like I can't imagine that the incredible shock from losing her entire family had changed her character."
Ushiromiya Ange,"""......You're saying that there's no way Eva oba-san, who loved her family, would throw away her husband and her son?"""
,"""That's right.  Even if Eva-san really was the culprit and massacred her entire family, making it look like an accident, ......she most certainly would have spared her husband and her son."
,"She would quibble that, by coincidence, only her family had been in the hidden mansion.  If Hideyoshi-san and George-kun had been alright, even I would probably suspect Eva-san."
,"......I truly cannot imagine that Eva-san's wailing at Hideyoshi-san's funeral was an act."""
Ushiromiya Ange,""".........Looks like both of those are circumstantial evidence.  That isn't the same as physically showing Eva oba-san's innocence."""
,"""Hah-hah-hah-ha.  If you say that, it's all over.  Eva-san was the only one left alive.  And she says that is the truth."""
Ushiromiya Ange,"""But no one can prove her innocence."""
,"""Yes, that's right.  And no one can prove that she committed a crime, either."""
Ushiromiya Ange,"""........................"""
,"""And the final point that should be believed is the police.  After all, it was a flashy crime.  Pushed forward by a public that was in an uproar over conspiracy theories, the police must have investigated Eva-san thoroughly."""
,"It's easy to feel something unnatural about the claim that Eva alone had escaped the accident by coincidence, because only she had escaped to a hidden mansion."
,"Furthermore, at the time, Hideyoshi's company had been right in the middle of a takeover struggle, and in order to buy off the big stockholders, she had wanted a large sum of cash."
,"It shouldn't be too hard to find a motive there."
,"But as a matter of fact, Eva's person had been perfectly clean when she had gone to the family conference."
,"Nothing unnatural was found on her that could have been used to brutally murder her family and make it look like an accident."
,"The servants who escaped harm by being off-duty on that day also stated that they hadn't seen anything strange regarding anyone related to the event, Eva included."
,"Putting all of that together, it could only be concluded that Ushiromiya Eva had headed to Rokkenjima for a normal family conference, without any change, and had encountered an accident..."
,"""The police looked so intensely, and they still couldn't find evidence that it was a crime.  ......The police came to that conclusion.  Doesn't this resolve the Rokkenjima Suspicion?"""
Ushiromiya Ange,"""......That just means that the police couldn't find evidence that it was a crime, right?"""
,"""There's nothing I can say to counter that.  It becomes a Devil's Proof.  To expose it as a crime, you just need to find evidence.  But what could you find to show that she was innocent?  It is impossible to prove a negative fact."""
Ushiromiya Ange,"""......Did Eva oba-san commit a crime, or did she not...  Because we can't find any materials with which to decide that, the truth will remain a mystery...is what you're saying, right?"""
,""".........That's it.  To put it in the words you are expecting, that's how it is.  It was even impossible for Eva-san to prove her own innocence.  "
,"On that island, an unfortunate accident occurred.  And Eva-san survived by chance.  And we don't know any more than that!"
,"In short, it all comes down to whether you believe the story of the only survivor, Eva-san, or not.  "
,"......I believed.  The case of the ring and her honorable love for her family.  And the tears she showed at the funeral.  Taking all of that into consideration, I decided I would believe her story."""
Ushiromiya Ange,"""......But I don't believe.  If she wanted to steal the ring, there were probably many ways for her to do so, and no one knows whether her relationship with her family really was good.  It's impossible to prove that the tears at the funeral were the real thing."
Ushiromiya Ange,"......Anyways, I hated Eva oba-san from the very beginning.  So I don't plan on believing her story."""
,"""Hah-hah-hah-ha...  How does one view the truth of the crime?  You and I are on completely opposing sides.  Even though the information we are given is exactly the same, we interpret it in completely different ways."
,".........This kind of thing often happens in politics and economics.  The exact same enterprise will surely have differing criticism.  Do you know why?"""
Ushiromiya Ange,""".........Why?"""
,"""It's about whether you have love.  ......Depending on whether you feel love for the other side, the way you see things is completely different."
,"  If a person you like gives to the poor, you can respect them, right?  But if someone you hate starts donating, you fiercely protest that it's a publicity stunt or that they're handing out favors."
,"No matter what they do or don't do, you thank them if you have love and criticize them if you don't.  That's how the world works."""
Ushiromiya Ange,"""Can Eva oba-san be believed or can't she.........You're saying that's the only difference?"""
,"""Those who suspect her will probably take anything she does or doesn't do and view it as truly unnatural.  And it works in reverse.  ......As for me, I think that perhaps, except in extreme cases, truth in this world doesn't exist."
,"No, even if truth does exist, whether you believe it or not is determined by whether you have love or not."
,"  ......Can you really call truth without certainty truth?  Even if Eva-san had been able to show concrete proof, would you have been able to believe it?"""
Ushiromiya Ange,""".................."""
,"It's hard to counter that."
,"...I hate Eva oba-san, so I'll probably deny all information beneficial to her, and interpret all neutral information as malicious."
,"......In other words, inside me, the truth is already decided.And despite that, just what in the world is this 'truth' that I'm still searching for, unsatisfied...?"
,"""That's how it is.  So no matter what you hear from me, because you still suspect Eva-san, nothing will change after all this time."
,"  At the very least, even if you were to grasp a piece of hitherto unknown information, I don't think you would be able to reach the truth the way you are now."""
Ushiromiya Ange,""".........I cannot, ...reach the truth?"""
,"""After all.  No matter what kind of new information or proof you find, Ange-chan, it won't change your stance that Eva-san is the culprit, right?  "
,"So it's pointless to investigate anything more, correct?  Because the truth inside of you is already decided."""
Ushiromiya Ange,"""....................."""
,"""But, if...  If you don't think of that as truth, and wish to struggle further towards the deeper, real truth, there is a single way.  "
,"I believe I already mentioned it, but do you know what it is?"""
Ushiromiya Ange,"""......Is it...love?  I don't really know what you mean."""
,"""You are now thinking about this while supposing that Eva-san is the culprit.  But that is like looking at something with one eye."
,"  With one eye, no matter how much you squint, you cannot see an object in three dimensions, right?  That's why we have another eye.  Of course, it's in a different position from the current eye."""
Ushiromiya Ange,"""............You're telling me look at things based on the supposition that Eva oba-san isn't the culprit, ...or else, that it was a real accident...?"""
,"""Yes, yes, that is correct.  When you think about things, try to look from a different perspective.  If you don't, you won't understand anything about what is real."
,"It's the same with newspapers.  You can't see anything from the single viewpoint of a writer who made the article in a single newspaper.  Sometimes you can only process information composedly and in three dimensions when you read multiple newspapers."
,"......Without love, the truth cannot be seen.  .........Hmm, sounds nice, wahahaha."""
,"Maybe he thought it interesting that such a flashy phrase would pop out of his mouth.  For a while, he laughed, looking pleased."
,"......At the same time, he was declaring that he had told everything that he knew, and that it was about time to leave.  I understood that and got to my feet."
,"""I do understand your feelings, Ange-chan.  You should do as you like for a while, so that you can accept it.......You were six years old at the time.  I understand how you feel after losing your family before you could even understand it, and still being unable to sort out your heart."""
Ushiromiya Ange,"""........................"""
,"""You may learn the truth, and you may not.  Eva-san may be the culprit, and she may be a victim.  "
,"......I pray that you find the 'truth' you believe in, Ange-chan.  A journey at such a young age may be a valuable experience."""
Ushiromiya Ange,"""Thank you very much.........I am truly sorry to be such a bother when you are so busy, Okonogi-san."""
Okonogi Tetsuro,"""No trouble, no trouble.  What are you going to do now?"""
Ushiromiya Ange,"""Well, whatever works.  ......I've made appointments with several specialists and people related to the crime, and I plan to go to those."""
Okonogi Tetsuro,"""I see.  I hope you can find an answer you can accept."""
,"At that time, company president Okonogi's secretary came in, handing him a memo over his shoulder."
,"He read it and looked between it and my face."
Okonogi Tetsuro,"""......Ange-chan.  My apologies that this comes right after telling you to try going on a journey, but I have some information you should lend an ear to.  ......It looks like you're in a bit of a nasty fix right now."""
Ushiromiya Ange,"""People after my money?  This is why money is stupid."""
Okonogi Tetsuro,"""Yes, but if you sell off all of the wealth, and try to donate the whole sum to the public welfare, you'll make the eyes pop out of those people optimistic about their chances with your fortune."""
Ushiromiya Ange,"""Oh, the Sumadera family?  Those guys act so proud, like they're my guards or something."""
,"There was Eva oba-san's precedent.Who would ever become under the care of the Sumadera family?"
,"They probably want to, as Eva oba-san had often threatened in the past, cut off my arms and legs, throw me in a warehouse, and suck the Ushiromiya family's wealth dry."
Okonogi Tetsuro,"""I heard that a messenger from the Sumadera family is coming here.  They're saying to hand you over...no no, that they want to protect you."""
Ushiromiya Ange,"""Messenger, you say?"""
Okonogi Tetsuro,"""It's your aunt.  Kyrie-san's younger sister.  She has said before that she thinks of you as a little sister."""
Ushiromiya Ange,"""She's joking.  At least call me a grandchild, you old granny."""
Okonogi Tetsuro,"""Judging from the context, it seems they have no wish to listen to your desires.  I have a car waiting in the parking lot two stories underground.  Go."""
Ushiromiya Ange,"""......The Sumadera family is telling you to hand me over.  Is it really alright to let me go?"""
Okonogi Tetsuro,"""You will definitely be something big in the future, Ange-chan.  Let us call this a favor to be repaid upon your success.  ...Go, quickly...!"""
,"After bowing silently and deeply, Ange left that place at a dash."
,"After watching her leave, the female secretary straightened her glasses and whispered."
,"""The Sumadera family told us to stall her...  Is it alright to let her go?"""
Okonogi Tetsuro,"""We did stall her, more than enough.  If they still don't make it in time, that's the Sumadera family's error.  ......I told Ange-chan to run for it.  I informed the Sumaderas that Ange-chan would be coming.  Whether she is caught or not, I will not be blamed."
Okonogi Tetsuro,"......Everything in this world is...love, you see...  It's alright, she'll escape.  After all, that child could jump off a building to lose some pursuers."""
,"......Okonogi looked down again through a crack in the blinds, muttering 'it really would be impossible for me...'"
,"Ange wasn't a fool herself."
,"She got off the elevator, but that was on the third floor."
,"A taxi in the second level of the basement?"
,"That's so polite that I don't like it.  It's probably better to refuse for now."
,"But the enemies aren't fools either.They're probably waiting in the first floor lobby, as well as the underground parking lot."
,"It's such a massive building.Instead of getting anxious and escaping outside, maybe it's better to stay on the inside and wait it out."
,"No, that's useless.If they get their hands on a security room in a modern building like this, I would have nowhere to run to."
,"This entire building is like a massive dead end."
,"The third floor is the business floor.  A girl like me would clearly stick out."
,"Trying not to stand out any more than I had to, I walked at a quick pace, searching for an emergency exit.......It would be perfect if that staircase was an outside staircase."
,"I found the door to the emergency exit."
,"After opening that heavy door, I found the outside staircase I had expected."
,"I bumped into a man who looked like an employee skipping work and smoking a cigarette.After glaring at me, he quickly crushed up his cigarette and went away."
,"It looked like there was no one below.  ...If I'm going to escape, now is my only chance...!"
,"Just when I thought that, with an incredible squealing of the tires, a black car slid right under me and came to a sudden stop."
,"......Judging from the sound of the tires, it felt like they had several other allies, and that one of them had come here to block this path."
Ushiromiya Ange,"""......Not bad, Kasumi oba-san.  To think that you'd even send a car to see your little sister off when she's trying to get out through the emergency exit."""
,"*bam*bam*!  The doors of the car were forcefully opened and three black-suited men jumped out, looking up at this emergency staircase."
,"......O-h no, our eyes met."
,"""12, target found.  Northwest side emergency stairs, third floor, send support."""
,"""Ange-sama!  Try not to move from there!  Forgive our roughness...!!"""
,"The three of them began to clamor up the emergency exit."
,"......They had already announced that they planned to be rough.  This is pretty bad."
,"They had probably been ordered to drag me by the arm if they had to, as long as I was breathing."
,"*clank*clank*clank*clank*!!Their heavy, wild footsteps became a helix and began to rise from the lower floors, getting closer...!"
,"In the entrance lobby of the building, a woman with seven black-suited guards behind her advanced at a leisurely pace."
,"Seeing this ostentatious entrance, the security guards for the building ran up to them, asking if they had an appointment."
,""".........How typical of Tokyo people.  Don't you understand the status of the person you are talking to without her having to say her name...?"""
,"""M, my apologies...  At our company, guests are to take a securi-"""
,"""......Back down, scum.  I came because I was called by your president.  Call Okonogi Tetsurou here.  To think that he would call me here and then not welcome me...how typical of Tokyo people..."""
Okonogi Tetsuro,"""My apologies.  Welcome to the Ushiromiya group, Sumadera Kasumi-san."""
,"With his secretary behind him, Okonogi dashingly appeared from the elevator."
,"Even though both of them wore bold smiles, they were caught in a tension reminiscent of the smell of gunpowder..."
Sumadera Kasumi,""".........Where is Ange?  I came to greet that cute, cute daughter of my big sister's."""
Okonogi Tetsuro,"""Strict observance of time is our motto here at the Ushiromiya group.  The former Chairman herself said that those who can't keep time can't keep contracts."""
Sumadera Kasumi,"""......You call me all the way to Tokyo, and this is all you have to show for it?  You let her go, didn't you."""
Okonogi Tetsuro,"""She escaped from us...is what I hoped you would say.  We did stall her for quite some time.  She must have suspected us after all.  Although there wouldn't have been a problem if you had come on time, Sumadera-san."
Okonogi Tetsuro,"This is why it's such a problem when provincials get careless.  Wahhahahahahahahaha!"""
Sumadera Kasumi,"""............What did you say just now......?  What did you say to me...?"""
,"You couldn't sense any of Kyrie's frankness in Kasumi's face."
,"She wore on her face the arrogance of the ancient Sumadera family towards the ruined Ushiromiya family, ......as well as pride, because she didn't want anyone to notice that her family was declining so much that they couldn't ignore the Ushiromiya family's wealth."
,"Even at a glance, it was easy to understand why Ange hated everything about her aunt..."
,"She couldn't stand even a slight insult, and while she still smiled, her forehead twitched."
,"At that time, the black-suited man behind Kasumi whispered to her."
,"""Ange-sama has been found.  We are currently dealing with her."""
Sumadera Kasumi,"""......Oh, I'm glad we made it in time.  ......Thank you, Okonogi.  It seems I can finally take my mischievous niece home.  ......I've waited so long to talk with that girl in my tea room, with all of the tools prepared.  Ehheheheheheheh...!"""
,"*clank*clank*clank*clank*......!!"
,"As the violent sound drew a helix, it rushed up at me from below, threatening to swallow me up."
,"Of course, even if I fight, there's no way I can win.Even so, if I run into the building, it would be like jumping into a dead end of my own accord."
,"The enemies will increase in number with time.If I can't do anything here, I won't have any more chances to escape."
,"Then, three muscular black-suited men came into view below me."
,"1, 2, 3.  Three people.  In other words, everyone who had gotten out of the car."
,"If there had been just one of them, I might have been able to dropkick 'em or something and smash them in the head, which might work out.  ......But it really is impossible with three of them."
,"No...three, is it...?  ......If there's just three, I might be able to make it.........I can do it......!"
Ushiromiya Ange,"""Whew.....................Haaaaaaaaaaaaahh!!"""
,"""Wha?!  Y, you idiot, stop!!  Look ooooooout!!  Whaaaaaaaaahhh...!!"""
,"""01 calling 12, is it secure, we received a response.  ......What happened?!  Respond!"""
,"""Wh, ......what kind of person..., damn it......"""
,".........Ohohoh.........Owow...Look, see...that worked out, didn't it?  It's just three of them."
,"I've already tried that once from a higher place.  I knew I could do it from just the third floor...!"
,"It's a good thing that the car they came in was right beneath me.Even if it wasn't as pleasant as a trampoline, it broke my fall, a little gently, a little roughly."
Ushiromiya Ange,"""......Sorry about that.  I'll bet it's never been dented this badly."""
,"The roof of the car broke my fall, leaving a massive dent around my body."
,"Car roofs are surprisingly delicate.  I don't think it's because of my weight."
,"Apparently, the three people on the stairs hadn't planned on me jumping down."
,"It seemed that they now realized that they had been outwitted, and they were hurriedly rushing down the stairs."
,"I have to run and escape while I have the chance.I moved my body, making clunking sounds on the car roof."
,"But I had been naive.  There was no way they'd have all rushed up the stairs without leaving one person behind."
,"There was one black-suited man left in the driver's seat of the car that had broken my fall.He stuck his head out of the window, and when he realized that the thing that had fallen on him was me, he jumped out."
,"In a rush, I jumped off the roof, but the black-suited man's reaction was really fast.  ......Either there was a massive reward for capturing me, or there would be some harsh punishment if they let me get away."
,"""15, secured, secured...!"""
Ushiromiya Ange,"""Owowowow......!!  Ack, don't touch me like that, let go!!"""
,"I was mercilessly held down against the asphalt.I was being crushed face-down, covered and pressed down on from above."
,"It was a hold without a trace of elegance, but it really was logical and left me no room for resistance."
,"I tried to push back with both hands, searching for a way to resist, but I was being pushed down solidly, and I couldn't even tear myself off the asphalt."
,"Then another car came, squealing its tires as it slid to a sudden stop."
,"Is it all over now?"
,"""Gyah!!!"""
,"The man that had been crushing me let out a sharp cry.......He was yelling right into my ear, making my left ear ring.  What in the world?!"
,"Along with the black-suit guy, I fell with a *thunk*."
,"After landing face up, the first thing I saw was...an arm stuck out right in front of my eyes."
Ushiromiya Ange,""".........Amakusa...?  Why are you here...?"""
Amakusa Juuza,"""Let's talk about that after we've lost them.  To the car, quickly, lady...!"""
,"Amakusa grabbed my arm, easily pulled me up, spinning me around with himself as the center of gravity."
,"Just when I thought it was a little like a dance, he flung me through the open door into the driver's seat."
,"I climbed over the hand brake and slid into the passenger's seat.Pushing me in, Amakusa also got into the driver's seat."
,"Since I had suddenly taken off while still on all fours, I had to kick and struggle around on the chair for a while, like a turtle that's been flipped over..."
,"Amakusa checked the rear-view mirror for cars in pursuit, but he flew into the artery of the big city without lowering his speed in the slightest."
,"We sewed our way between cars one after another.Just like a chase scene in some action movie."
,"......I was shaken by this horrible driving, and had trouble sitting back down."
Amakusa Juuza,"""Are you injured, lady?"""
Ushiromiya Ange,"""There's nothing wrong.  Humans are surprisingly durable.  Next time I try to a escape a downward moving elevator, I'll jump out a window instead."""
Amakusa Juuza,"""Hyahhahaha, it looks like air dives are your hobby, lady.  Still, I recommend that you bring a parachute next time."""
Ushiromiya Ange,"""If I can remember after jumping off."""
Amakusa Juuza,"""Hyahhahahahaha, cool!"""
,"He smacked the steering wheel, guffawing."
,"Need an explanation for this flippantly-talking man?"
,"His name is Amakusa Juuza (天草十三)."
,"He was originally one of Eva oba-san's guards.  Didn't Oba-san start to hate him because he chatted too much?"
,"He had been younger than the rest of the guards, but contrary to his outward flippancy, he had hopped from the First Airborne of the JSDF to the French Foreign Legion, placing himself in overseas private military companies and high-class security companies one after another, making for a pretty incredible and unique career."
,"......But I heard that he had run off from both the JSDF and the French Foreign Legion, and that he'll be arrested if he enters France again.  Both of these flippant episodes were very typical of him."
,"The guards were sternly told not to chat with me unnecessarily, but he came and took a pass at me, didn't he?"
,"Eva oba-san had particularly disliked that, and had supposedly dismissed him right before she died."
Ushiromiya Ange,"""It's been a while since I've heard that casual tone.  What happened after you got fired?"""
Amakusa Juuza,"""I was coaching people at Blackwater.  When I came back to the country on my time off, President Okonogi offered me a high wage."""
Ushiromiya Ange,"""......So, you ran away again?  I wonder if a man like that is useful for anything."""
Amakusa Juuza,"""It doesn't count as running off as long as I come back by next week.  I talked with him yesterday.  I was told that some troublesome people might come to call on you, lady."""
Ushiromiya Ange,"""Sorry that it turned out to be exactly right."""
Amakusa Juuza,"""My name probably came up since I know you, and I've got plenty of crazy experience.  Thanks to you, it looks like this'll make for a happy break along with some pocket money."""
Ushiromiya Ange,"""......Okonogi-san employed you as my guard?"""
Amakusa Juuza,"""He probably wanted to buy some gratitude from you, lady.  ......After I was fired, I got indebted to President Okonogi in various ways.  He took advantage of me here and there, and now I can't say no to him.  Hyahha!"""
