Speaker,Russian (RU)
,"Я стала принцессой хэллоуинской вечеринки, и специально для меня начали турнир викторин и загадок."
,"Похоже, я получу медаль за каждую отгаданную головоломку."
,"Если соберу много таких, дедушка даст мне чудесный приз."
,"Ладно, вперёд."
Ushiromiya Ange,"""С кого бы начать?"""
Ushiromiya Eva,"""Вряд ли это важно. Начинай с кого хочешь."""
Ushiromiya Rudolf,"""Лучше придумаю сногсшибательную головоломку, пока есть возможность."""
Ushiromiya Rosa,"""Мария, у тебя, кажется, в сумке есть книга с викторинами?"""
Ushiromiya Maria,"""У‐у! Есть! Ки‐хи‐хи‐хи‐хи, я подразню Энджи противной загадкой!.."""
,Сестрёнка Мария засмеялась с недоброй улыбкой.
,"Видимо, все собрались подразнить меня. Они наверняка придумают очень сложные вопросы."
Ushiromiya Eva,"""Не беспокойся, я помогу."""
Ushiromiya Ange,"""Правда?.."""
Ushiromiya Eva,"""Конечно. Ведь я спутница принцессы. Поэтому давай вместе постараемся и получим много медалей."""
Ushiromiya Ange,"""Да!.."""
Gohda Toshiro,"""Ну же, госпожа Энджи. Начинайте с кого хотите. Я, Года, готов бросить вам вызов когда будет угодно."""
Ushiromiya Kinzo,"""Эй, не так быстро. Честь первой аудиенции с принцессой принадлежит мне. Энджи, начни с меня!.."""
Ushiromiya Ange,"""Хо... хорошо!"""
,Я вдруг почувствовала напряжение и тяжесть в животе.
,Тётя Ева нежно взяла меня за руку.
Ushiromiya Eva,"""Всё будет хорошо. Давай вместе!"""
Ushiromiya Ange,"""Д‐...... да!"""
Ushiromiya Kinzo,"""Тогда начнём, Энджи. Эта история о 25 декабря, Рождестве."""
Ushiromiya Ange,"""О Рождестве?.."""
,"Хотя был октябрь, он вдруг заговорил о Рождестве.{n}Собирается спросить, какого дня Рождество?"
,Я знаю. 25 декабря.
Ushiromiya Kinzo,"""В Рождество женщина посмотрела на ночное небо и сказала ""В конце концов ночь закончится и наступит утро. Разве не было бы прекрасно, если бы после захода солнца и наступления ночи Рождество могло бы настать снова?"" И тогда мужчина ответил ""Ладно, ради тебя я исполню твою мечту"". Такое возможно?.."""
Ushiromiya Ange,"""За Рождеством следует 26‐е — обычный день. Невозможно."""
Ushiromiya Eva,"""...По‐прежнему рождество даже после восхода солнца...... О, я поняла."""
Ushiromiya Ange,"""Э? Как?! Как может день после Рождества снова стать Рождеством?!"""
Ushiromiya Kinzo,"""Ва‐ха‐ха‐ха‐ха. Подумай сама, Энджи."""
