Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES),Arabic (AR)
Ushiromiya Eva,"""Three months left to live. It was last year when you said that, Doctor Nanjo...""","""3 months left to live. It was last year when you said that, right, Doctor Nanjo?"" ","""3 months left to live.  It was last year when you said that, right, Doctor Nanjo?""",「余命３ヶ月。南條先生がそう仰ったのは去年の話よぅ？」,[=JP],"""Жить ему осталось месяца три. Разве не так вы говорили в прошлом году, доктор Нанджо?""","""Três meses de vida. Foi ano passado que você disse isso, Doutor Nanjo...""",「余命三个月。南条大夫说出这句话，都已经是去年的事了哦？」,「余命三個月。南條大夫說出這句話，都已經是去年的事了哦？」,"""3 mesi rimasti da vivere. Era l'anno scorso quando l'ha detto, giusto, Dottor Nanjo?""","""Tres meses de vida. Fue lo que dijo el año pasado, ¿no es así, doctor Nanjo?""","""ﺛﻼﺙ ﺃﺷﻬﺮ ﻟﻴﻌﻴﺶ. ﻟﻘﺪ ﻗﻠﺘﻬﺎ ﺍﻟﻌﺎﻡ ﺍﻟﻤﺎﺿﻲ ﺃﻳﻬﺎ ﺍﻟﻄﺒﻴﺐ ﻧﺎﻧﺠﻮ..."""
Nanjo Terumasa,"""......I, I only spoke of what I had determined from his overall physical condition at the time. As a result, it has just worked out that this year, he has—""","""...I-I only spoke of what I could comprehensively determine from his physical condition at the time. As a result, this year too, it just so happens-"" ","""......I, I only spoke of what I had comprehensively determined from his physical condition at the time.  As a result, this year too by chance-""",「……わ、私は、その時の健康状態から総合的に判断してお話しているだけです。その結果、今年もたまたま、」,[=JP],"""......Я... я говорил лишь о том, что выяснил из всестороннего анализа его физического состояния на тот момент. В результате, и в этом году не исключено...""","""......E‐Eu apenas falei aquilo que determinei analisando a condição física geral dele naquela ocasião. Como resultado, este ano também, apenas aconteceu dele—""",「……我、我仅仅是按照那时的健康状态，进行综合判断，说出了这句话罢了。结果，今年也碰巧相同。」,「……我、我僅僅是按照那時的健康狀態，進行綜合判斷，說出了這句話罷了。結果，今年也碰巧相同。」,"""... I-Io ho solo detto ciò che si poteva comprendere dalle sue condizioni fisiche in quel momento. Come risultato, per caso anche quest'anno-""","""... Y-Yo solo hablaba de lo que había determinado según su condición física en ese momento. Como resultado, este año de casualidad tambi—""","""......ﻗُـ-ﻗﻠﺖ ﺫﻟﻚ ﺑﻨﺎﺀً ﻋﻠﻰ ﺗﺤﻠﻴﻠﻲ ﺍﻟﺸﺎﻣﻞ ﻟﺤﺎﻟﺘﻪ ﺍﻟﺠﺴﺪﻳﺔ ﻓﻲ ﺫﻟﻚ ﺍﻟﻮﻗﺖ. ﻭﺑﺎﻟﺮﻏﻢ ﻣﻦ ﺻﺤﺔ ﻛﻼﻣﻲ، ﺇﻻ ﺃﻧﻨﻲ ﺗﻔﺎﺟﺄﺕ ﺃﻳﻀًﺎ ﻫﺬﺍ ﺍﻟﻌﺎﻡ-"""
Ushiromiya Rudolf,"""Despite the doubt being cast on whether Father can make it to the end of the year, the fact is that even now, he's still enthusiastically immersed in his occult research. And still you would say he has only three months left, Doctor?""","""So, even though it's doubtful whether Dad'll last until the end of the year, he's still totally focused on his occult research. And you still say he has only three months left, Doctor?"" ","""Even though it's doubtful whether Father will last until the end of the year, he's still enthusiastically immersed in his occult research.  And even so, he has only three months left, Doctor?""",「年を越せるかも怪しいってことになってる親父殿は、今も意気軒昂でオカルト研究に没頭されてるというわけだ。それでも余命３ヶ月ってわけかい、先生？」,[=JP],"""Несмотря на то, что отец вряд ли протянет до конца этого года, он всё ещё с энтузиазмом погружён в свои оккультные исследования. И при всём этом, ему осталось лишь три месяца, доктор?""","""Além da dúvida imposta de se o pai chegará até o fim deste ano, o fato é que agora ele ainda está entusiasmadamente imerso em suas pesquisas ocultas. E você ainda vai dizer que ele tem apenas três meses de vida, doutor?""",「连熬不熬得过年关都说不准的父亲大人，至今仍在意气轩昂地埋头研究神秘学。都这样了，还余命三个月吗，大夫？」,「連熬不熬得過年關都說不准的父親大人，至今仍在意氣軒昂地埋頭研究神秘學。都這樣了，還余命三個月嗎，大夫？」,"""Nonostante ci sia il dubbio se nostro Padre durerà fino alla fine dell'anno, lui è ancora immerso con entusiasmo nelle sue ricerche occulte. E anche così, gli son rimasti solo tre mesi, Dottore?""","""Aunque es dudoso que padre dure hasta fin de año, todavía está muy entusiasmado con su investigación ocultista. ¿Y aun así, usted dice que solo le quedan tres meses, doctor?""","""ﺇﺫًﺍ ﺭﻏﻢ ﻋﺪﻡ ﻳﻘﻴﻨﻚ ﻣﻦ ﻋﻴﺶ ﺃﺑﻲ ﺣﺘﻰ ﻧﻬﺎﻳﺔ ﻫﺬﻩ ﺍﻟﺴﻨﺔ، ﺇﻻ ﺃﻧّﻪ ﻻ ﻳﺰﺍﻝ ﻳﺮﻛﺰ ﺗﻤﺎﻣًﺎ ﻋﻠﻰ ﺃﺑﺤﺎﺛﻪ ﺍﻟﻐﺎﻣﻀﺔ. ﻭﺭﻏﻢ ﻫﺬﺍ ﺗﻘﻮﻝ ﺃﻧّﻪ ﻟﻢ ﻳﺘﺒﻖ ﻟﻪ ﺳﻮﻯ ﺛﻼﺛﺔ ﺃﺷﻬﺮ ﻟﻴﻌﻴﺸﻬﺎ؟"""
Nanjo Terumasa,"""A‐as I've been saying, Kinzo‐san's—""","""L-Like I said, Kinzo-san's-"" ","""L, like I said, Kinzo-san's-""",「で、ですから、金蔵さんの、」,[=JP],"""К‐как я уже сказал, Кинзо‐сан...""","""C‐Como eu estava dizendo, o Kinzo‐san—""",「所、所以说，金藏先生的——」,「所、所以說，金藏先生的——」,"""C-Come ho detto, Kinzo-san è-""","""C-Como estoy diciendo, Kinzo-san—""","""ﻛـ-ﻛﻤﺎ ﻗﻠﺖ، ﻛﻴﻨﺰﻭ-ﺳﺎﻥ-"""
Ushiromiya Krauss,"""Is it not a wonderful thing that our respected father still has his vitality? Out of parental respect, all of you desire to greet Father so badly that you scarcely know what to do with yourselves. So you cannot accept the fact that he will not see you.""","""Shouldn't you be happy that our respected father is still in high spirits? Out of a sense of parental respect, each one of you is so eager to greet Father. I can see how upset you are that he's unwilling to meet with you."" ","""Isn't it wonderful that our respected father is still in high spirits?  Out of respect for your parents, all of you strongly desire to greet Father.  So you cannot accept the fact that you cannot meet with him.""",「敬愛する親父殿が、未だお元気でおられるなら素晴らしいことじゃないか。親孝行なお前たちは、親父殿に挨拶がしたくてしたくて仕方がない。なので会ってもらえないので納得が行かないと、そういうわけだ。」,「敬愛する親父殿が、未だお元気でおられるなら素晴らしいことじゃないか。親孝行なお前たちは、親父殿に挨拶がしたくてしたくて仕方がない。なので会ってもらえないので納得が行かないと、そういうわけだ」,"""Разве не чудесно, что наш многоуважаемый отец всё ещё не пал духом? Из уважения к родителям вы все жаждете повидаться с ним. Потому не можете смириться с тем, что такой возможности нет.""","""Não é algo maravilhoso que nosso respeitável pai ainda mantenha sua vitalidade? Muito além de um sentimento de respeito parental, todos vocês desejam fervorosamente cumprimentar o pai que mal sabem se comportar.{n}Por isso não conseguem aceitar o fato de que ele não irá atendê‐los.""",「敬爱的父亲大人依然神采焕发，岂不美哉？孝顺的你们迫不及待地想去问候父亲大人。因此，想不通为何不获接见，就是这么一回事吧。」,「敬愛的父親大人依然神采煥發，豈不美哉？孝順的你們迫不及待地想去問候父親大人。因此，想不通為何不獲接見，就是這麼一回事吧。」,"""Non è meraviglioso che il nostro rispettato Padre sia ancora così euforico? {n}Per rispetto verso i genitori, tutti voi desiderate fortemente salutare nostro Padre. Quindi non riuscite ad accettare il fatto che non potete incontrarlo.""","""¿No es maravilloso que nuestro respetado padre siga estando de buen humor? Por respeto parental, todos ustedes desean tanto saludar a padre que apenas saben qué hacer con ustedes mismos. Por lo que no pueden aceptar el hecho de que no pueden encontrarse con él.""","""ﺃﻻ ﻳﻨﺒﻐﻲ ﺃﻥ ﺗﻜﻮﻧﻮﺍ ﺳﻌﺪﺍﺀ ﻷﻥ ﻭﺍﻟﺪﻧﺎ ﺍﻟﻤﺤﺘﺮﻡ ﻻ ﻳﺰﺍﻝ ﻓﻲ ﺭﻭﺡٍ ﻣﻌﻨﻮﻳﺔٍ ﻋﺎﻟﻴﺔ؟ ﺃﻧﺎ ﺃﻋﻲ ﺃﻥّ ﺭﻏﺒﺘﻜﻢ ﻓﻲ ﺭﺅﻳﺔ ﻭﺍﻟﺪﻱ ﻭﺗﺤﻴﺘﻪ، ﻧﺎﺑﻌﺔ ﻣﻦ ﻣﻨﻄﻠﻖ ﺑﺮِّﻛﻢ ﺑﻪ. ﻻ ﻳﺴﻌﻨﻲ ﺇﻻ ﺭﺅﻳﺔ ﺍﻟﺤﺰﻥ ﻋﻠﻰ ﻣﻼﻣﺤﻜﻢ ﺇﺛﺮ ﺭﻓﻀﻪ ﻣﻘﺎﺑﻠﺘﻜﻢ."""
Ushiromiya Natsuhi,"""...Given that you have all begun to prematurely divide up the inheritance while the sun is still in the sky, I completely understand why it is that Father does not wish to see you.""","""...Considering that everyone has started aiming for the inheritance while the sun is still in the sky, I can understand why Father wouldn't want to see you."" ","""...Considering that everyone has started aiming for the inheritance while the sun is still in the sky, it seems that you do not truly wish to meet with Father.""",「…日も沈まぬ内から、遺産分配の皮算用を始める皆さんのことを思えば、お父様の会いたくないという気持ちもわかろうというものです。」,「…日も沈まぬ内から、遺産分配の皮算用を始める皆さんのことを思えば、お父様の会いたくないという気持ちもわかろうというものです」,"""...Учитывая, что вы все нацелены на разговор о наследстве ещё до захода солнца, сомневаюсь, что вы и правда хотите увидеть отца.""","""...Visto que todos começaram, prematuramente, a dividir a herança enquanto o Sol ainda está no céu, eu consigo compreender perfeitamente o motivo pelo qual o pai não deseja vê‐los.""",「…想想连太阳都还没下山，就开始盘算着分配遗产的诸位，也算是明白爸为何不想见你们了。」,「…想想連太陽都還沒下山，就開始盤算著分配遺產的諸位，也算是明白爸為何不想見你們了。」,"""... Considerando che tutti hanno iniziato a prendere di mira l'eredità mentre il sole è ancora in cielo, sembra che voi non desideriate veramente incontrare nostro Padre.""","""... Considerando que todos han comenzado a centrarse en la herencia mientras el sol todavía está en el cielo, entiendo completamente por qué padre no desea verlos.""","""...ﺇﻧّﻜﻢ ﺟﻤﻴﻌًﺎ ﻫﻨﺎ ﻃﻤﻌًﺎ ﻓﻲ ﺗﻘﺴﻴﻢ ﺍﻟﻤﻴﺮﺍﺙ، ﻭﺩﻭﻥ ﺧﺠﻞٍ ﺗﻨﺎﻗﺸﻮﻥ ﺫﻟﻚ ﻓﻲ ﻭﺿﺢ ﺍﻟﻨﻬﺎﺭ. ﺃﻧﺎ ﺃﺗﻔﻬﻢ ﺗﻤﺎﻣًﺎ ﻋﺪﻡ ﺭﻏﺒﺔ ﻭﺍﻟﺪﻱ ﻓﻲ ﻟﻘﺎﺋﻜﻢ."""
Ushiromiya Rosa,"""Y‐you've got it wrong, Natsuhi nee‐san. ......We just, umm—""","""Y-You've got it wrong, Natsuhi nee-san. ...We just, umm-"" ","""Y, you've got it wrong, Natsuhi nee-san.  ......We just, umm-""",「そ、それは誤解よ、夏妃姉さん。……ただ、私たちはその、」,[=JP],"""Т‐ты ошибаешься, Нацухи нее‐сан. ......Мы всего лишь, м‐м‐м...""","""V‐Você está enganada, Natsuhi nee‐san. ......Nós só, hmm—""",「您、您误会了，夏妃姐姐。……我们，只是那个——」,「您、您誤會了，夏妃姐姐。……我們，只是那個——」,"""S-Stai sbagliando, Natsuhi nee-san. ... Noi solamente, umm-""","""T-Te equivocas, Natsuhi nee-san... Nosotros solo, umm—""","""ﺃ-ﺃﻧﺖِ ﺗﺴﻴﺌﻴﻦ ﺍﻟﻔﻬﻢ ﻳﺎ ﺃﺧﺘﻲ ﻧﺎﺗﺴﻮﻫﻲ. ......ﻧﺤﻦ ﻓﻘﻂ، ﻫﻤﻢ-"""
Ushiromiya Rudolf,"""Not even Dad is immortal—he's gonna die {i:someday}. We aren't telling him to die. We're just saying that he will die {i:someday}. We're just talking together about how to prepare for that.""","""Dad isn't immortal, and he'll die someday. We aren't telling him to die. We're just saying that he will die sooner or later. We're just talking together about how to prepare for that."" ","""Dad isn't immortal, and he'll die someday.  We aren't telling him to die.  We're just saying that he will die someday.  We're just talking together about how to prepare for that.""",「親父とて不死身じゃねぇ、いつかは死ぬさ。死ねと言ってるんじゃない。いつかは死ぬと言ってるだけさ。それに備えての話し合いだってだけの話じゃねぇか。」,「親父とて不死身じゃねぇ、いつかは死ぬさ。死ねと言ってるんじゃない。いつかは死ぬと言ってるだけさ。それに備えての話し合いだってだけの話じゃねぇか」,"""Отец не бессмертен и, {i:рано или поздно}, он умрёт. Мы не желаем ему смерти. Мы лишь говорим, что {i:этот день} когда‐нибудь настанет и лишь вместе обсуждаем, как к нему подготовиться.""","""Nem mesmo o pai é imortal — ele vai morrer {i:algum dia}. Nós não estamos dizendo para ele morrer. Nós estamos apenas dizendo que {i:algum dia} ele vai morrer. Só estamos falando sobre como nos prepararmos para isto.""",「爸也不是不死之身，总有一天要死的。不是说叫他去死。仅仅是在说，爸总有一天会死。这不就仅仅是为了给这一天做好准备，而商量商量而已嘛。」,「爸也不是不死之身，總有一天要死的。不是說叫他去死。僅僅是在說，爸總有一天會死。這不就僅僅是為了給這一天做好準備，而商量商量而已嘛。」,"""Papà non è immortale, e un giorno morirà. Non gli stiamo dicendo di morire. Stiamo solo dicendo che un giorno lo farà. Stiamo solamente discutendo insieme di come prepararci a ciò.""","""Papá no es inmortal, y {i:algún día} morirá. No le estamos diciendo que muera. Solo decimos que {i:algún día} va a fallecer. Y estamos hablando acerca de cómo prepararnos para ello.""","""ﺃﺑﻲ ﻟﻴﺲ ﺧﺎﻟﺪًﺍ، ﻭﺳﺘﺤﻴﻦ ﺳﺎﻋﺔ ﻭﻓﺎﺗﻪ {i:ﻳﻮﻣًﺎ ﻣﺎ}. ﻧﺤﻦ ﻻ ﻧﻘﻮﻝ ﺃﻧﻪ ﻳﺠﺐ ﺃﻥ ﻳﻤﻮﺕ، ﻧﺤﻦ ﻓﻘﻂ ﻧﻘﻮﻝ ﺃﻧﻪ ﺳﻴﻤﻮﺕ {i:ﻳﻮﻣًﺎ ﻣﺎ}. ﻧﺮﻳﺪ ﺍﻟﻨﻘﺎﺵ ﺍﺳﺘﻌﺪﺍﺩً ﻟﻤﺎ ﺑﻌﺪ ﻣﻮﺗﻪ ﺍﻟﺬﻱ ﺳﻴﺤﻴﻦ ﻓﻲ ﺃﻱّ ﻟﺤﻈﺔ."""
Ushiromiya Natsuhi,"""And that is precisely what is so disrespectful!!""","""And that is precisely what is so disrespectful!!"" ","""And that is precisely what is so disrespectful!!""",「それが不敬だと言っているのです！！」,[=JP],"""Это как раз и есть проявление неуважения!""","""E é exatamente por isso que é tão desrespeitoso!!""",「我就是在说，这话就已是不敬了！！」,「我就是在說，這話就已是不敬了！！」,"""Ed è proprio per questo che non è rispettoso!!""","""¡¡Y eso precisamente es lo más irrespetuoso!!""","""ﻭﻫﺬﺍ ﺑﺎﻟﻀﺒﻂ ﻣﺎ ﺃﻋﺘﺒﺮﻩ ﻗﻠﺔ ﺍﺣﺘﺮﺍﻡ!!"""
Ushiromiya Krauss,"""Stop it. You'll make your headache worse.""","""Stop it. You'll make your headache worse."" ","""Stop it.  You'll make your headache worse.""",「よしなさい。また君の頭痛に障る。」,「よしなさい。また君の頭痛に障る」,"""Прекрати. Ты лишь обостришь свою головную боль.""","""Pare com isso. Você só está piorando minhas dores de cabeça.""",「别这样。又会引发头疼的。」,「別這樣。又會引發頭疼的。」,"""Smettila. Farai peggiorare il tuo mal di testa.""","""Detente. Harás que tu dolor de cabeza empeore.""","""ﻫﺬﺍ ﻳﻜﻔﻲ. ﺳﺘﺰﻳﺪﻳﻦ ﺣﺪﺓ ﺻﺪﺍﻋﻚ."""
