Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES),Arabic (AR)
,"""Rumor has it, Ange‐chan, that you jumped off the top of a building?""","""Rumor has it, Ange-chan, that you jumped off the top of a skyscraper?"" ","""Rumor has it, Ange-chan, that you jumped off the top of a skyscraper?""",「噂じゃ、縁寿ちゃん。あんた、ビルの天辺から飛び降りたんだって？」,[=JP],"""Энджи‐чан, врут ли слухи, что ты спрыгнула аж с вершины небоскрёба?""","""Tem um rumor, Ange‐chan, que diz que você pulou do topo de um prédio?""",「据传闻，缘寿。你从楼顶跳了下去？」,「據傳聞，緣壽。你從樓頂跳了下去？」,"""Le voci dicono, Ange-chan, che sei saltata giù dalla cima di un grattacielo?""","""¿Es cierto lo que se rumorea, Ange-chan? ¿Saltaste de la cima de un rascacielos?""","""ﺳﻤﻌﺖ ﺇﺷﺎﻋﺔ ﻳﺎ ﺇﻧﺠﻲ-ﺗﺸﺎﻥ، ﺃﻧﻚ ﻗﻔﺰﺕِ ﻣﻦ ﻓﻮﻕ ﺳﻄﺢ ﻣﺒﻨﻰ."""
Ushiromiya Ange,"""The groupies were getting annoying, so I thought I'd give them the slip.""","""The groupies were getting annoying, so I thought I'd give them the slip."" ","""The groupies were getting annoying, so I thought I'd give them the slip.""",「追っ掛けがウザかったんで、ちょっと撒こうと思って。」,「追っ掛けがウザかったんで、ちょっと撒こうと思って」,"""Мои почитатели начали становиться чересчур назойливыми, поэтому я решила улизнуть от них.""","""Os paparazzis estavam me irritando, então pensei em dar um deslize para eles.""",「跟屁虫太烦，也就是想甩掉他们罢了。」,「跟屁虫太煩，也就是想甩掉他們罷了。」,"""Le groupie stavano cominciando a diventare fastidiose, così ho pensato di seminarle.""","""Los fanáticos se estaban poniendo molestos, así que escapé de ellos.""","""ﻟﻘﺪ ﺃﺯﻋﺠﻨﻲ ﺍﻟﺤﺮﺍﺱ، ﻓﻠﻢ ﺃﺟﺪ ﻃﺮﻳﻘﺔً ﺃﺧﺮﻯ ﻟﻠﺘﺨﻠﺺ ﻣﻨﻬﻢ."""
,"Ange and an old gentleman wearing an expensive suit were alone in a massive, modern conference room.","Ange and an old gentleman wearing an expensive suit were alone in a massive, modern conference room. ","Ange and an old gentleman wearing an expensive suit were alone in a massive, modern conference room.",広大で近代的な会議室に、縁寿と、上等なスーツを着た老紳士が二人きりでいた。,[=JP],"Энджи и немолодой джентльмен в дорогом костюме беседовали в современном конференц‐зале, где кроме них не было больше никого.","Ange e um velho senhor estavam vestindo ternos caros, sozinhos em uma imensa e moderna sala de conferência.",宽广的现代化会议室里，只有缘寿与身穿高级西装的老绅士两人待在这里。,寬廣的現代化會議室裡，只有緣壽與身穿高級西裝的老紳士兩人待在這裡。,"Ange e un vecchio signore vestito con un costoso completo erano da soli in una moderna, enorme stanza.",Ange y un caballeroso anciano que vestía un costoso traje estaban solos en una enorme y moderna sala de conferencias.,ﻛﺎﻧﺖ ﺇﻧﺠﻲ ﻓﻲ ﻟﻘﺎﺀٍ ﻣﻊ ﺭﺟﻞٍ ﻋﺠﻮﺯ ﻳﺮﺗﺪﻱ ﺑﺪﻟﺔ ﺭﺍﻗﻴﺔ، ﻓﻲ ﻏﺮﻓﺔ ﺍﺟﺘﻤﺎﻋﺎﺕ ﻭﺍﺳﻌﺔ ﻭﻋﺼﺮﻳﺔ.
,"The conference room was equipped with all the latest equipment for presentations, while keeping intact a refined and composed atmosphere; that alone was enough to make abundantly clear the worth of the corporation that was its owner.","All of the newest machines for presentations were installed there, but they didn't upset its refined and composed atmosphere, and that alone was enough to make the business-like theme of the room abundantly clear. ","All of the newest machines for presentations were installed there, but they didn't upset the refined and composed atmosphere in the conference room, and that alone was enough to make the business-like theme of the room abundantly clear.",プレゼンテーション用のあらゆる最新機材が準備され、それでいて上品で落ち着いた雰囲気を損なっていないその会議室は、ただそれだけで、この会議室の主である企業の格を知らしめ威圧している。,[=JP],"Там было установлено всё новейшее оборудование для презентаций, но оно не портило изысканную и спокойную атмосферу конференц‐зала, и одного этого было достаточно, чтобы подчеркнуть деловой стиль комнаты.","A sala de conferência estava equipada com todos os tipos de equipamentos de última geração para apresentações, enquanto mantinham intacto o refinamento e a serena atmosfera; que sozinha já era o bastante para deixar abundantemente claro o valor que aquela corporação detinha.",虽然摆放着各种用于陈述企划案的最先端设备，但也丝毫不损高贵沉稳之气的这间会议室，仅凭这些，就体现出了拥有这间会议室的企业的社会地位，威风凛凛。,雖然擺放著各種用於陳述企划案的最先端設備，但也絲毫不損高貴沉穩之氣的這間會議室，僅憑這些，就體現出了擁有這間會議室的企業的社會地位，威風凜凜。,"Vi erano installati tutti i macchinari più moderni per le presentazioni, ma non rovinavano l'atmosfera raffinata e composta della sala conferenze, e questo era più che sufficiente a rendere chiaro il tema affaristico della stanza.","Todas las máquinas de presentaciones más modernas estaban instaladas allí, pero no perturbaban la refinada y compuesta atmósfera de la sala de conferencias, y ya eso era suficiente para hacer la temática de salón de negocios muy clara.",ﺫﻭ ﻣﻈﻬﺮٍ ﻋﻤﻠﻲ، ﻭﺗﺤﻮﻱ ﺃﺣﺪﺙ ﺁﻻﺕ ﺍﻟﻌﺮﺽ ﻭﺍﻻﺿﺎﺀﺓ، ﻭﻣﻊ ﺫﻟﻚ، ﻟﻢ ﻳﻔﻘﺪﻫﺎ ﺫﻟﻚ ﺃﺟﻮﺍﺀﻫﺎ ﺍﻟﺮﻓﻴﻌﺔ ﺍﻟﻤﻬﻴﺒﺔ، ﺑﻞ ﺇﻥ ﻓﺨﺎﻣﺘﻬﺎ ﻭﺣﺪﻫﺎ ﻛﺎﻧﺖ ﻛﺎﻓﻴﺔ ﻷﻥ ﺗﻌﻠﻦ ﻣﻜﺎﻧﺔ ﺍﻟﺸﺮﻛﺔ ﺍﻟﻤﺎﻟﻜﺔ ﻭﺗُﺸﻌﺮ ﺯﺍﺋﺮﻫﺎ ﺑﺎﻟﺮﻫﺒﺔ.
,"However, Ange couldn't have cared less.","However, that didn't matter at all to Ange. ","However, that didn't matter at all to Ange.",もっとも、縁寿にはどうでもいいことだ。,[=JP],Однако для Энджи это не имело никакого значения.,"No entanto, Ange não demonstrou se importar.",不过说到底，缘寿才不在意这些。,不過說到底，緣壽才不在意這些。,"Tuttavia, ciò non interessava minimamente ad Ange.","Sin embargo, eso no le importaba para nada a Ange.",ﻏﻴﺮ ﺃﻥّ ﺇﻧﺠﻲ ﻟﻢ ﺗﻜﻦ ﺗﺒﺎﻟﻲ ﺑﻬﺬﺍ ﻛﻠﻪ.
,"Looking aloof from the world, she sat slovenly in one of the high‐class chairs for executives with salaries probably north of twenty million yen.","She carelessly sat on a high-class chair that executives making a salary of several ten million yen probably sat in, looking aloof from the world. ","She carelessly sat on a high-class chair that executives making a salary of several ten million yen probably sat in, looking aloof from the world.",何千万もの年収を取るだろう役員たちが座る高級椅子にぞんざいに座り、飄々とした様子だった。,[=JP],"Отстранившись от мира, она небрежно сидела в кресле экстра‐класса, в котором, вероятно, сидели руководители, получавшие зарплату в несколько миллионов йен.","Parecendo não se importar com o que estava ao seu redor, ela sentou de forma desleixada em uma cadeira de alta classe, na qual executivos com salários que devem passar dos vinte milhões de iene se sentam.",她大大咧咧地坐在由年收入几千万的董事们坐的高级坐椅上，一副悠然自得的样子。,她大大咧咧地坐在由年收入幾千萬的董事們坐的高級坐椅上，一副悠然自得的樣子。,"Sedeva senza prestarci attenzione su una sedia di alta classe su cui sedeva probabilmente un qualche dirigente con uno stipendio di diverse decine di milioni di Yen, sembrando distaccata dal mondo.","Se sentó descuidadamente en una silla de clase alta donde los ejecutivos que ganan un salario de varios millones de yenes probablemente se sentarían, observando indiferentemente el mundo.",ﻓﻘﺪ ﺟﻠﺴﺖ ﺑﺎﺳﺘﻬﺎﻧﺔ ﻋﻠﻰ ﻣﻘﻌﺪ ﻓﺎﺧﺮ ﻳُﺨﺼﺺ ﻋﺎﺩﺓً ﻟﻠﻤﺪﺭﺍﺀ ﺫﻭ ﺍﻟﺪﺧﻞ ﺍﻟﻬﺎﺋﻞ، ﻣﻄﻤﺌﻨﺔ ﻏﻴﺮ ﺁﺑﻬﺔ.
Ushiromiya Ange,"""And anyway, I knew they were remodeling on the lower floors and had a safety net, so.""","""It's because I knew they were remodeling on a lower floor and had a safety net out."" ","""It's because I knew that they were remodeling downstairs and that there was a safety net below.""",「下の方の階で、改装工事してて転落防止ネットがあるの、知ってましたし。」,「下の方の階で、改装工事してて転落防止ネットがあるの、知ってましたし」,"""Дело в том, что я знала, что они переделывали нижний этаж, и что внизу находилась спасательная сетка.""","""De qualquer forma, eu sei que estão remodelando os andares inferiores e possuem uma conexão segura.""",「我知道下面在重新装潢，有防止坠楼的安全网。」,「我知道下面在重新裝潢，有防止墜樓的安全網。」,"""È successo perché sapevo che erano in corso lavori per riparare le scale e c'era una rete di sicurezza sotto.""","""Es porque sabía que estaban remodelando abajo y había una red de seguridad allí.""","""ﻛﻨﺖُ ﺃﻋﻠﻢ ﺑﻮﺟﻮﺩ ﺃﻋﻤﺎﻝ ﺑﻨﺎﺀ ﻓﻲ ﺍﻟﻄﺎﺑﻖ ﺍﻟﺴﻔﻠﻲ، ﻟﺬﺍ ﻛﺎﻧﺖ ﻫﻨﺎﻙ ﺷﺒﻜﺔ ﺃﻣﺎﻥ ﺗﺤﻤﻴﻨﻲ."""
,"Ange dismissed it with an offhand comment, but in reality, it had been a {i:miracle} among miracles.","Ange talked about it like it was no big deal, but in reality, it had been a ""miracle"" among miracles. ","Ange talked about it like it was no big deal, but in reality, it was a 'miracle' among miracles.",縁寿はあっけらかんとした様子でそう言い放つが、実際には奇跡中の“奇跡”だ。,[=JP],"Энджи говорила об этом так, словно в этом не было ничего особенного, однако в реальности это было {i:чудо} из чудес.","Ange o rejeitou com um comentário improvisado, mas, na realidade, havia sido um {i:milagre} dentre os milagres.",虽然缘寿轻描淡写地说着，但实际上，这可是奇迹中的“奇迹”。,雖然緣壽輕描淡寫地說著，但實際上，這可是奇跡中的“奇跡”。,"Ange ne parlava come se non fosse un grosso problema, ma in realtà, era stato un ‘miracolo’ tra i miracoli.","Ange habló de ello como si no fuese gran cosa, pero en realidad, era un {i:milagro} entre los milagros.",ﻗﺎﻟﺖ ﺫﻟﻚ ﺑﻠﻬﺠﺔ ﻋﺎﺑﺜﺔ، ﻟﻜﻦ ﺍﻟﺤﻘﻴﻘﺔ ﺃﻥ ﻧﺠﺎﺗﻬﺎ ﺃﺷﺒﻪ {i:ﺑﻤﻌﺠﺰﺓ}.
,"She had shot through several layers of safety netting for the remodeling project, been caught by a multi‐colored banner adorning the atrium, slid down and off it, ...been softly caught by a final banner, landed on the ground without a scratch, and then left that place at a brisk walk... It put Hong Kong movies to shame.","To think that she'd shot through several layers of safety netting for the remodeling project, been caught in a multi-colored banner adorning the atrium and slipped off, ...only to be softly caught by a final banner, land on the ground without a scratch, and then briskly leave that place... It put Hong Kong movies to shame. ","To think that she had shot through several layers of safety netting for the remodeling project, been caught in a multi-colored banner adorning the atrium and slipped off, ...only to be softly caught by a final banner and to land on the ground without a scratch, then briskly leave that place..., it put Hong Kong movies to shame.",改装工事中の転落防止ネットを何層も突き抜け、アトリウムの宙を飾っていた色とりどりの横断幕に受け止められては滑り落とされ、…最後の横断幕１枚にふわりと受け止められて無傷で地上に降り立ち、すたすたとその場を後にしたなんて…、香港映画顔負けだ。,[=JP],"Если представить, что она пролетела сквозь несколько слоёв защитной строительной сетки, попала в разноцветный флаг, украшавший атриум, и соскользнула с него, только затем, чтобы мягко опуститься на последний флаг и приземлиться на землю без единой царапины, а затем быстро покинуть это место, то гонконгским фильмам впору ощущать себя посрамлёнными.","E pensar que ela havia passado através de dezenas de camadas da rede de segurança para o projeto de remodelamento, sendo pega por um banner multicolorido, adornando o átrio, puxando para baixo e o desligando, ...sendo delicadamente apanhada por um banner final, pousando no chão, sem qualquer arranhão, e então, deixando o local em à passos rápidos... De tal forma que deixaria os filmes de Hong Kong com vergonha.",她撞破了好几层施工中防止坠楼的安全网，摔到了装饰在里院半空中的五颜六色的横幅上，滑了下来，…被最后一块横幅轻轻接住，毫发无伤地双脚着地，健步如飞地将大楼甩在了身后…，连香港电影都甘拜下风。,她撞破了好幾層施工中防止墜樓的安全網，摔到了裝飾在里院半空中的五顏六色的橫幅上，滑了下來，…被最後一塊橫幅輕輕接住，毫髮無傷地雙腳著地，健步如飛地將大樓甩在了身後…，連香港電影都甘拜下風。,"Pensare che si era lanciata attraverso vari strati di reti di sicurezza disposte per il progetto di riparazione, che era atterrata su uno striscione colorato che adornava l'altro e che era scivolata... solo per essere dolcemente raccolta da un ultimo striscione e mettere piede al suolo senza un graffio, lasciando quel posto con nonchalance... ridicolizzava i film di Hong Kong.","El pensar que ella había atravesado varias capas de redes de seguridad del proyecto de remodelación, sido atrapada en un cartel multicolor que adornaba el atrio y resbalado de ahí... para ser suavemente capturada por un último cartel y aterrizar en el suelo sin un rasguño, y entonces salir rápidamente de ese lugar... comparado a eso, las películas de Hong Kong no eran nada.",ﻓﻘﺪ ﺍﺧﺘﺮﻗﺖ ﻋﺪﺓ ﻃﺒﻘﺎﺕ ﻣﻦ ﺷﺒﺎﻙ ﺍﻷﻣﺎﻥ، ﺛﻢّ ﺳﻘﻄﺖ ﻋﻠﻰ ﻻﻓﺘﺔ ﻣﺘﻌﺪﺩﺓ ﺍﻷﻟﻮﺍﻥ ﺗﺰﻳﻦ ﺍﻟﻮﺍﺟﻬﺔ، ﻟﺘﻨﺰﻟﻖ ﻭﺗﻌﻠﻖ ﻓﻲ ﻻﻓﺘﺔ ﺃﺧﺮﻯ، ...ﻭﺗﺼﻞ ﻓﻲ ﺍﻟﻨﻬﺎﻳﺔ ﺇﻟﻰ ﺍﻷﺭﺽ ﺩﻭﻥ ﺃﻱّ ﺧﺪﺵ، ﻭﺗﻐﺎﺩﺭ ﺍﻟﻤﻜﺎﻥ ﺑﺒﺴﺎﻃﺔ... ﻛﺎﻥ ﺫﻟﻚ ﻛﺎﻓﻴًﺎ ﻟﺠﻌﻞ ﺃﻓﻼﻡ ﺍﻟﻴﺎﻛﻮﺯﺍ ﻓﻲ ﻣﻮﺿﻊ ﺳﺨﺮﻳﺔ.
,"""So you knew there was a net—it was still a 200‐meter‐tall skyscraper, y'know. If things hadn't gone according to plan, there'd be a real mess to deal with right now.""","""Whether you knew there was a net or not, this is a 200-meter tall super-skyscraper we're talking about, right? If things hadn't gone as you planned, there'd be a mess to deal with now."" ","""Whether you knew there was a net or not, even so, it was a 200 meters tall super-skyscraper, right?  If things hadn't gone as you planned, there'd be a mess to deal with now.""",「いくらネットがあるの知ってた、たってぇ、高さ２００ｍの超高層だよ？　もしも思い通りにならなかったら、今頃、大変なことになってただろうよ。」,「いくらネットがあるの知ってた、たってぇ、高さ２００ｍの超高層だよ？　もしも思い通りにならなかったら、今頃、大変なことになってただろうよ」,"""Знала ты или нет, что внизу находиться сетка, с небоскрёба до земли в любом случае было добрых 200 метров, не так ли? Если бы что‐то пошло не так, как ты планировала, то сейчас пришлось бы расхлёбывать ещё ту кашу.""","""Mesmo sabendo que haveria uma rede — ainda assim, era um arranha céu de 200 metros de altura, sabia? Se o plano não tivesse saído de acordo com o planejado, teria que se lidar com uma verdadeira bagunça agora.""",「就算知道有安全网，但那可是高达两百米的超高层啊？如果没有如想象中那么顺利，那这会儿可就出大事了。」,「就算知道有安全網，但那可是高達兩百米的超高層啊？如果沒有如想像中那麼順利，那這會兒可就出大事了。」,"""Che tu sapessi che ci fosse o no una rete, era un enorme grattacielo di 200 metri, giusto? Se le cose non fossero andate come avevi previsto, ci sarebbe un bel casino da risolvere ora.""","""Aunque supieses que había una red, aun así, era un rascacielos de 200 metros de alto, ¿cierto? Si las cosas no hubieran ido como las planeaste, habría un desastre con el cual lidiar ahora.""","""ﺣﺘﻰ ﻭﺇﻥ ﻛﻨﺖِ ﺗﻌﻠﻤﻴﻦ ﺑﻮﺟﻮﺩ ﺍﻟﺸِﺒﺎﻙ، ﻓﻘﺪ ﻛﺎﻥ ﺍﺭﺗﻔﺎﻉ ﺍﻟﻤﺒﻨﻰ ﻣﺌﺘﻲ ﻣﺘﺮ! ﻟﻮ ﺃﻥ ﺍﻷﻣﻮﺭ ﻟﻢ ﺗﺴﺮ ﻋﻠﻰ ﺧﻴﺮ، ﻟﻜﻨّﺎ ﺍﻵﻥ ﻓﻲ ﺧﻀﻢ ﻓﺎﺟﻌﺔ ﻳﺼﻌﺐ ﺍﻟﺘﻌﺎﻣﻞ ﻣﻌﻬﺎ."""
