Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,It was the largest banquet hall in this huge hotel.,It was the largest banquet hall in this huge hotel. ,"It was the largest banquet hall in this huge hotel.",そこは大きなホテルの、一番大きなバンケットルーム。,そこは大きなホテルの、一番大きなバンケットルーム。,В самом большом банкетном зале в этом огромном отеле.,Era o maior banquete de todos no saguão deste imenso hotel.,这里是某个大宾馆中，最大的宴会厅。,這裡是某個大賓館中，最大的宴會廳。,Era il più grande salone rinfreschi in quel grande hotel.,It was the largest banquet hall in this huge hotel.,Era el mayor salón para fiestas de este enorme hotel.,It was the largest banquet hall in this huge hotel.,It was the largest banquet hall in this huge hotel.,It was the largest banquet hall in this huge hotel.,It was the largest banquet hall in this huge hotel.
,The many guests that filled the room chattered and applauded the person receiving an award trophy on top of the stage.,The many guests that filled the room chattered and applauded the person receiving an award trophy on top of the stage. ," The many guests that filled the room chattered and applauded the person receiving an award trophy on top of the stage.",大勢の来賓がひしめき、壇上にて受賞盾を受け取る人物を拍手で祝福していた。,大勢の来賓がひしめき、壇上にて受賞盾を受け取る人物を拍手で祝福していた。,"Множество гостей кричали и аплодировали человеку, получившему награду‐трофей на сцене.",Diversos convidados recheavam o local com conversas e aplaudiam a pessoa que recebia seu prêmio sobre o palco.,众多的来宾聚集于此，为台上领取奖杯的人物鼓掌祝福。,眾多的來賓聚集於此，為台上領取獎盃的人物鼓掌祝福。,I molti ospiti che riempivano la sala chiacchieravano e applaudivano la persona che stava ricevendo un premio in cima al palco.,The many guests that filled the room chattered and applauded the person receiving an award trophy on top of the stage.,Todos los invitados que llenaban el salón aplaudían a la persona recibiendo un trofeo sobre el escenario.,The many guests that filled the room chattered and applauded the person receiving an award trophy on top of the stage.,The many guests that filled the room chattered and applauded the person receiving an award trophy on top of the stage.,The many guests that filled the room chattered and applauded the person receiving an award trophy on top of the stage.,The many guests that filled the room chattered and applauded the person receiving an award trophy on top of the stage.
,"The sign in front said ""Biggs Publishing Company Awards Ceremony"".","The sign in front said ""Awards Ceremony from Japan's Greatest Publishers"". "," The sign in front said 'Biggs Publishing Company Awards Ceremony'.",表看板には、国内有数の大手出版社の受賞式典と書かれている。,表看板には、国内有数の大手出版社の受賞式典と書かれている。,Вывеска гласила: «Церемония награждения издательской компании Биггс».,"Uma placa frontal informava ""Cerimônia de Premiação das Melhores Editoras do Japão"".",外面的看版上写着，这是国内知名大出版社的颁奖仪式。,外面的看版上寫著，這是國內知名大出版社的頒獎儀式。,Il cartello di fronte diceva ‘Cerimonia di Premiazione dell'Agenzia di Pubblicazione Biggs’.,"The sign in front said ""Biggs Publishing Company Awards Ceremony"".","En el letrero de enfrente ponía ""Ceremonia de entrega de premios de la editorial Biggs"".","The sign in front said ""Biggs Publishing Company Awards Ceremony"".","The sign in front said ""Biggs Publishing Company Awards Ceremony"".","The sign in front said ""Biggs Publishing Company Awards Ceremony"".","The sign in front said ""Biggs Publishing Company Awards Ceremony""."
,"""And now, I would like to begin the novel category. The winner...is a novel everyone here will be very familiar with. The story that started a worldwide movement, that continues to grow in leaps and bounds, the fantasy adventure novel...‘Sakutarou's Great Adventure’!""","""And now, I would like to begin the novel category. The winner...is that fantasy adventure novel we all know so well, the story that started a worldwide movement that continues to grow in leaps and bounds, ""Sakutarou's Great Adventure""!"" ","""And now, I would like to begin the novel category. The winner...is that fantasy adventure novel we all know so well, the story that started a worldwide movement that continues to grow in leaps and bounds, 'Sakutarou's Great Adventure'!""",「続きまして、小説部門に参りたいと思います。受賞作は、皆さんもご存知。世界的な一大ムーブメントを巻き起こし、破竹の快進撃を続ける、ファンタジー冒険小説『さくたろうの大冒険』です！」,「続きまして、小説部門に参りたいと思います。受賞作は、皆さんもご存知。世界的な一大ムーブメントを巻き起こし、破竹の快進撃を続ける、ファンタジー冒険小説『さくたろうの大冒険』です！」,"""А теперь я бы хотела перейти к категории романов. Победитель... фэнтези‐приключенческий роман, который все мы хорошо знаем; история, положившая начало международному движению, продолжающему стремительно расти, «Великое приключение Сакутаро»!""","""Continuando, eu gostaria de começar com a categoria romantização.{n}O vencedor...é uma obra na qual todos aqui já estão bem familiarizados. A história que começou com um movimento mundial, e que continuou a crescer cada vez mais, a obra de aventura‐fantasia...‘A Grande Aventura do Sakutarou’!""",「下面，为小说部门颁奖。获奖作品，诸位也都知道。是引发了世界上一大热点，以破竹之势不断迅猛前进的，幻想冒险小说『樱太郎的大冒险』！」,「下面，為小說部門頒獎。獲獎作品，諸位也都知道。是引發了世界上一大熱點，以破竹之勢不斷迅猛前進的，幻想冒險小說『櫻太郎的大冒險』！」,"""Ed ora, vorrei iniziare la categoria romanzi. Il vincitore... è quel romanzo fantasy di avventura che tutti noi conosciamo bene, la storia che ha iniziato un movimento mondiale che continua a crescere a passi da gigante, ‘La Grande Avventura di Sakutarou’!""","""And now, I would like to begin the novel category. The winner...is a novel everyone here will be very familiar with. The story that started a worldwide movement, that continues to grow in leaps and bounds, the fantasy adventure novel...‘Sakutarou's Great Adventure’!""","""Y ahora, me gustaría comenzar con la categoría de novelas. La ganadora... es esa novela de fantasía y aventura que todos conocemos muy bien, la historia que ha dado lugar a un movimiento mundial, que continúa creciendo a pasos agigantados, la novela de fantasía y aventura es... ¡‘La Gran Aventura de Sakutaro’!""","""And now, I would like to begin the novel category. The winner...is a novel everyone here will be very familiar with. The story that started a worldwide movement, that continues to grow in leaps and bounds, the fantasy adventure novel...‘Sakutarou's Great Adventure’!""","""And now, I would like to begin the novel category. The winner...is a novel everyone here will be very familiar with. The story that started a worldwide movement, that continues to grow in leaps and bounds, the fantasy adventure novel...‘Sakutarou's Great Adventure’!""","""And now, I would like to begin the novel category. The winner...is a novel everyone here will be very familiar with. The story that started a worldwide movement, that continues to grow in leaps and bounds, the fantasy adventure novel...‘Sakutarou's Great Adventure’!""","""And now, I would like to begin the novel category. The winner...is a novel everyone here will be very familiar with. The story that started a worldwide movement, that continues to grow in leaps and bounds, the fantasy adventure novel...‘Sakutarou's Great Adventure’!"""
,The projector in front of the audience showed a brief summary of the series.,The projector in front of the audience showed a brief summary of the series. ,"The projector in front of the audience showed a brief summary of the series.",正面のプロジェクターに、作品の概要が映し出される。,正面のプロジェクターに、作品の概要が映し出される。,Проектор перед аудиторией показал краткий обзор серии.,O projetor em frente à plateia exibiu um breve resumo da série.,正面的投影机，映出了作品的概要。,正面的投影機，映出了作品的概要。,Il proiettore di fronte al pubblico mostrò un breve riassunto delle serie.,The projector in front of the audience showed a brief summary of the series.,El proyector que estaba en frente de la audiencia mostraba un breve resumen de la historia.,The projector in front of the audience showed a brief summary of the series.,The projector in front of the audience showed a brief summary of the series.,The projector in front of the audience showed a brief summary of the series.,The projector in front of the audience showed a brief summary of the series.
,It was...a lengthy fantasy adventure novel that was already more than eight installments long.,It was...a lengthy fantasy adventure novel that was already more than 8 installments long. ," It was...a lengthy fantasy adventure novel that was already more than 8 installments long.",それは、すでに８巻を越える、長編ファンタジー冒険小説だ。,それは、すでに８巻を超える、長編ファンタジー冒険小説だ。,"Обзор длинного фэнтези‐приключенческого романа, который уже был длиной в более чем восемь частей.",Era uma...obra de aventura‐fantasia que já tinha mais de oito sequências.,这是已经超过了 8 卷的长篇幻想冒险小说。,這是已經超過了 8 卷的長篇幻想冒險小說。,Era... un lungo romanzo fantasy d'avventura che aveva già più di 8 puntate di pubblicazione.,It was...a lengthy fantasy adventure novel that was already more than eight installments long.,Era... una larga novela de fantasía que ya tenía más de 8 entregas.,It was...a lengthy fantasy adventure novel that was already more than eight installments long.,It was...a lengthy fantasy adventure novel that was already more than eight installments long.,It was...a lengthy fantasy adventure novel that was already more than eight installments long.,It was...a lengthy fantasy adventure novel that was already more than eight installments long.
,"The thrilling fantasy story told of the adventures of Sakutarou, a cowardly vegeta‐lion who makes friends, learns through his experiences, and grows in his search for the One Fragment.","The thrilling fantasy story told of the adventures of Sakutarou, a cowardly vegeta-lion who makes friends, learns through his experiences, and grows in his search for the One Fragment. "," The thrilling fantasy story told of the adventures of Sakutarou, a cowardly vegeta-lion who makes friends, learns through his experiences, and grows in his search for the One Fragment.",臆病な草食らいおん、さくたろうが、仲間たちと出会い切磋琢磨しながら成長して、「一つのカケラの秘宝」を求めて大冒険する痛快ファンタジーだ。,臆病な草食らいおん、さくたろうが、仲間たちと出会い切磋琢磨しながら成長して、「一つのカケラの秘宝」を求めて大冒険する痛快ファンタジーだ。,"Захватывающая фантастическая история рассказывает о приключениях Сакутаро — трусливого льва‐вегетарианца, который заводит друзей, набирается опыта и растёт в поисках одного фрагмента.","A empolgante história de fantasia contava as aventuras de Sakutarou, um covarde leão vegetariano que fazia amigos, aprendia através das experiências e crescia em sua busca pelo Fragmento Único.",胆小的草食狮子，樱太郎，通过和伙伴们的邂逅逐渐切磋成长起来，探求「唯一的碎片的秘宝」的大冒险的畅快幻想小说。,膽小的草食獅子，櫻太郎，通過和伙伴們的邂逅逐漸切磋成長起來，探求「唯一的碎片的秘寶」的大冒險的暢快幻想小說。,"L'avvincente storia fantasy narrava le avventure di Sakutarou, un pauroso vegeta-leone che si faceva amici, imparava dalle sue esperienze e cresceva nella sua ricerca del Singolo Frammento.","The thrilling fantasy story told of the adventures of Sakutarou, a cowardly vegeta‐lion who makes friends, learns through his experiences, and grows in his search for the One Fragment.","La emocionante historia de fantasía narraba las aventuras de Sakutaro, un cobarde león vegetariano que hacía amigos, aprendía de sus experiencias, y crecía en su búsqueda del Fragmento.","The thrilling fantasy story told of the adventures of Sakutarou, a cowardly vegeta‐lion who makes friends, learns through his experiences, and grows in his search for the One Fragment.","The thrilling fantasy story told of the adventures of Sakutarou, a cowardly vegeta‐lion who makes friends, learns through his experiences, and grows in his search for the One Fragment.","The thrilling fantasy story told of the adventures of Sakutarou, a cowardly vegeta‐lion who makes friends, learns through his experiences, and grows in his search for the One Fragment.","The thrilling fantasy story told of the adventures of Sakutarou, a cowardly vegeta‐lion who makes friends, learns through his experiences, and grows in his search for the One Fragment."
,"The main character's catch phrase, ""I'll become the King of the Beasts"", was even one of the candidates for the Best Phrase to Come Into Modern Slang Award.","The main character's catch phrase, ""I'll become the King of the Beasts"", was even one of the candidates for the Buzzwords of the Year award. "," The main character's catch phrase, 'I'll become the King of the Beasts', was even one of the candidates for the Best Phrase to Come Into Modern Slang award.",主人公さくたろうの名台詞「僕は百獣王になる」は、流行語大賞の候補にもなった。,主人公さくたろうの名台詞「僕は百獣王になる」は、流行語大賞の候補にもなった。,Коронная фраза главного героя — «Я стану царём зверей» — даже претендовала на Лучшую фразу в премии Вход в современный сленг.,"O bordão do protagonista, ""Eu me tornarei o Rei das Bestas"", era um dos candidatos a Melhor Frase do Ano.",主人樱太郎的名台词「我要成为百兽王」，甚至成为了流行语大奖的候补。,主人櫻太郎的名台詞「我要成為百獸王」，甚至成為了流行語大獎的候補。,"Il motto del protagonista, ‘diventerò il re degli animali’, era persino uno dei candidati per il premio di Migliore Frase ad Entrare nello Slang Moderno.","The main character's catch phrase, ""I'll become the King of the Beasts"", was even one of the candidates for the Best Phrase to Come Into Modern Slang Award.","La frase pegadiza del protagonista, ""Seré el Rey de las Bestias"", era incluso una de las candidatas al premio a la Mejor Frase Introducida en la Jerga Moderna.","The main character's catch phrase, ""I'll become the King of the Beasts"", was even one of the candidates for the Best Phrase to Come Into Modern Slang Award.","The main character's catch phrase, ""I'll become the King of the Beasts"", was even one of the candidates for the Best Phrase to Come Into Modern Slang Award.","The main character's catch phrase, ""I'll become the King of the Beasts"", was even one of the candidates for the Best Phrase to Come Into Modern Slang Award.","The main character's catch phrase, ""I'll become the King of the Beasts"", was even one of the candidates for the Best Phrase to Come Into Modern Slang Award."
,"In addition to being a thrill to read, the books also contained many messages for children to learn from, earning it high praise as an adventure novel that parents and kids could enjoy reading together.","In addition to being a thrill to read, the books also contained many messages for children to learn from, earning it high praise as an adventure novel that parents and kids could enjoy reading together. "," In addition to being a thrill to read, the books also contained many messages for children to learn from, earning it high praise as an adventure novel that parents and kids could enjoy reading together.",痛快に読める娯楽小説の体裁を取りながらも、子供たちに伝えたいテーマがいくつも織り込まれ、親子で読みたい冒険小説として高い評価を受けた。,痛快に読める娯楽小説の体裁を取りながらも、子供たちに伝えたいテーマがいくつも織り込まれ、親子で読みたい冒険小説として高い評価を受けた。,"В дополнение к захватывающему сюжету, книга также содержала много поучительных посланий для детей, что заработало ей высокую оценку как приключенческому роману, чтением которого родители и дети могут наслаждаться вместе.","Além de ser uma leitura emocionante, os livros também continham muitas mensagens com as quais as crianças poderiam aprender, recebendo ótimas críticas como sendo uma obra de aventura que pais e crianças poderiam aproveitar em conjunto.",作品体裁本身是能畅快阅读的娱乐小说，其中编入了许多个想要告诉孩子们的主题，作为父母孩子都想读的冒险小说而得到了高度评价。,作品體裁本身是能暢快閱讀的娛樂小說，其中編入了許多個想要告訴孩子們的主題，作為父母孩子都想讀的冒險小說而得到了高度評價。,"In aggiunta ad essere avvincente da leggere, i libri contenevano anche molti messaggi da cui i bambini imparavano, guadagnandosi grandi lodi come romanzo d'avventura che adulti e bambini potevano divertirsi a leggere assieme.","In addition to being a thrill to read, the books also contained many messages for children to learn from, earning it high praise as an adventure novel that parents and kids could enjoy reading together.","Además de ser una lectura emocionante, los libros también contenían muchos mensajes para que los niños aprendieran, ganándose grandes elogios como una novela de aventuras que padres e hijos podían disfrutar leyendo juntos.","In addition to being a thrill to read, the books also contained many messages for children to learn from, earning it high praise as an adventure novel that parents and kids could enjoy reading together.","In addition to being a thrill to read, the books also contained many messages for children to learn from, earning it high praise as an adventure novel that parents and kids could enjoy reading together.","In addition to being a thrill to read, the books also contained many messages for children to learn from, earning it high praise as an adventure novel that parents and kids could enjoy reading together.","In addition to being a thrill to read, the books also contained many messages for children to learn from, earning it high praise as an adventure novel that parents and kids could enjoy reading together."
,"However, it hadn't received praise like this from the beginning.","However, it hadn't received such praise from the beginning. "," However, it hadn't received praise like this from the beginning.",しかし、それは最初から得られた評価ではない。,しかし、それは最初から得られた評価ではない。,Но его так хвалили не с самого начала.,"Contudo, ela não recebia muitos elogios no início.",但是，这并不是一开始就得到了好评。,但是，這並不是一開始就得到了好評。,"Tuttavia, non aveva ricevuto lodi del genere sin dall'inizio.","However, it hadn't received praise like this from the beginning.","Sin embargo, no recibió elogios como estos desde el principio.","However, it hadn't received praise like this from the beginning.","However, it hadn't received praise like this from the beginning.","However, it hadn't received praise like this from the beginning.","However, it hadn't received praise like this from the beginning."
