Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
Ushiromiya Battler,"""...I see... So, not a witch, but a mistress by the name of {f:5:Beatrice} did exist on the island...""","""...I see... So she's not a witch, but a mistress named {f:5:Beatrice}, who lived on the island... ","""...I see... She's not a witch, Beatrice is the name of his mistress who lived on the island...",「…なるほどな…。魔女じゃなく、ベアトリーチェという名の愛人が島に存在していたわけか…。,「…なるほどな…。魔女じゃなく、ベアトリーチェという名の愛人が島に存在していたわけか…」,"""...Ясно... Она не ведьма, а {f:5:Беатриче} — имя его любовницы, жившей на острове...""","""...Entendi... Então não é uma bruxa, mas uma amante que responde pelo nome {f:5:Beatrice}, que ainda permanece nessa ilha...""",「…原来如此啊…。不是魔女，而是在岛上存在过一位名叫贝阿朵莉切的情妇么…？」,「…原來如此啊…。不是魔女，而是在島上存在過一位名叫貝阿朵莉切的情婦麼…？」,"""... Capisco... non è una strega, Beatrice è il nome della sua amante che viveva sull'isola...","""...I see... So, not a witch, but a mistress by the name of {f:5:Beatrice} did exist on the island...""","""... Ya veo... Así que no se trataba de una bruja, sino de una amante que vivió en esta isla llamada {f:5:Beatrice}...""","""...ﻫﻜﺬﺍ ﺇﺫًﺍ... {f:7:ﺑﻴﺎﺗﺮﻳﺲ} ﻟﻴﺴﺖ ﺳﺎﺣﺮﺓ، ﺑﻞ ﻋﺸﻴﻘﺔ ﻛﺎﻧﺖ ﺗﻌﻴﺶ ﻓﻲ ﺍﻟﺠﺰﻳﺮﺓ...""","""...I see... So, not a witch, but a mistress by the name of {f:5:Beatrice} did exist on the island...""","""...I see... So, not a witch, but a mistress by the name of {f:5:Beatrice} did exist on the island...""","""...I see... So, not a witch, but a mistress by the name of {f:5:Beatrice} did exist on the island..."""
Ushiromiya Battler,"""......So there can be more than 18 people! Which means I can defeat that line of reasoning which says that, if it was impossible for all 18 people, it must be a crime involving magic. ......That's some big information.""","...So there can be more than 18 people! Which means I can defeat the line of reasoning that says any crime impossible for all 18 people must involve magic. ...That's a big scoop."" ","......So there can be more than 18 people! Which means I can defeat that line of reasoning which says that, if it was impossible for all 18 people, it must be a crime involving magic. ......That's some big information.""",……つまり人間は１８人以上居得る！　ということは、１８人全員に不可能だから魔法犯罪である、という図式は崩せるわけだ。……これは大きい情報だぜ。」,「……つまり人間は１８人以上いる！　ということは、１８人全員に不可能だから魔法犯罪である、という図式は崩せるわけだ。……これは大きい情報だぜ」,"""...Получается, может иметься больше восемнадцати человек! А значит, я могу одолеть цепочку рассуждений, утверждающую, что раз такое было невозможно для всех восемнадцати человек, то это должно быть преступлением, совершённым с помощью магии. ...Вот это важные сведения.""","""......Então pode haver mais de 18 pessoas! O que significa que eu posso derrotar essa linha de raciocínio que diz que, se é impossível para cada uma das 18 pessoas, então deve ser um crime que envolve magia. ......Essa é uma informação das grandes.""",「……也就是说，人数有可能不止十八人！如此一来，就可以推翻“因为十八人全都做不到，所以是魔法犯罪”的公式了。……这可是条大情报啊。」,「……也就是說，人數有可能不止十八人！如此一來，就可以推翻“因為十八人全都做不到，所以是魔法犯罪”的公式了。……這可是條大情報啊。」,"... Allora ci possono essere più di 18 persone! Il che significa che posso distruggere il ragionamento che dice ciò, se è impossibile per tutte e 18 le persone, dev'essere un crimine che coinvolge la magia. ... Questa è un'ottima notizia.""","""......So there can be more than 18 people! Which means I can defeat that line of reasoning which says that, if it was impossible for all 18 people, it must be a crime involving magic. ......That's some big information.""","""... ¡Por lo que podría haber más de 18 personas! Lo que significa que puedo derrotar esa línea de razonamiento que dice que, si fuese imposible para todas las 18 personas, sería un crimen que implica el uso de magia... Esa información es muy importante.""","""...ﻫﺬﺍ ﻳﻌﻨﻲ ﺃﻥ ﻣﻦ ﺍﻟﻤﻤﻜﻦ ﻭﺟﻮﺩ ﺃﻛﺜﺮ ﻣﻦ ﺛﻤﺎﻧﻴﺔ ﻋﺸﺮ ﺷﺨﺼًﺎ! ﻭﺑﺎﻟﺘﺎﻟﻲ ﺗﻨﻬﺎﺭ ﺍﻟﻨﻈﺮﻳﺔ ﺍﻟﻘﺎﺋﻠﺔ ﺑﺄﻥ ﺍﻟﺠﺮﻳﻤﺔ ﻻ ﻳﻤﻜﻦ ﺃﻥ ﺗُﺮﺗﻜﺐ ﺇﻻ ﺑﺎﻟﺴﺤﺮ ﻷﻥ 81 ﺷﺨﺼًﺎ ﻻ ﻳﻤﻜﻦ ﺃﻥ ﻳﻜﻮﻥ ﺃﺣﺪﻫﻢ ﺍﻟﺠﺎﻧﻲ. ......ﻫﺬﻩ ﻣﻌﻠﻮﻣﺔ ﻣﻬﻤﺔ.""","""......So there can be more than 18 people! Which means I can defeat that line of reasoning which says that, if it was impossible for all 18 people, it must be a crime involving magic. ......That's some big information.""","""......So there can be more than 18 people! Which means I can defeat that line of reasoning which says that, if it was impossible for all 18 people, it must be a crime involving magic. ......That's some big information.""","""......So there can be more than 18 people! Which means I can defeat that line of reasoning which says that, if it was impossible for all 18 people, it must be a crime involving magic. ......That's some big information."""
Ronove,"""Excuse me. Battler‐sama, would you care for some black tea and cookies?""","""Pardon me. Battler-sama, would you like some black tea and cookies?"" ","""Excuse me. Battler-sama, how about some black tea and cookies?""",「失礼いたします。戦人さま、紅茶とクッキーはいかがですか？」,「失礼いたします。戦人さま、紅茶とクッキーはいかがですか？」,"""Прошу прощения. Баттлер‐сама, как насчёт чёрного чая с печеньем?""","""Com licença. Battler‐sama, gostaria de um pouco de chá preto junto à alguns cookies?""",「打扰了。战人少爷，请问要不要来点红茶与小甜饼？」,「打擾了。戰人少爺，請問要不要來點紅茶與小甜餅？」,"""Mi scusi. Battler-sama, che ne dice di un po' di tè nero e biscotti?""","""Excuse me. Battler‐sama, would you care for some black tea and cookies?""","""Disculpe. Battler‐sama, ¿qué tal algo de té negro y galletas?""","""ﺍﻟﻤﻌﺬﺭﺓ. ﺑﺎﺗﻠﺮ-ﺳﺎﻣﺎ، ﺃﺗﻮﺩ ﺗﻨﺎﻭﻝ ﺑﻌﺾ ﺍﻟﺸﺎﻱ ﺍﻷﺳﻮﺩ ﻭﺍﻟﻜﻌﻚ؟""","""Excuse me. Battler‐sama, would you care for some black tea and cookies?""","""Excuse me. Battler‐sama, would you care for some black tea and cookies?""","""Excuse me. Battler‐sama, would you care for some black tea and cookies?"""
,"Beato's butler, who called himself Ronove, appeared out of nowhere in particular.","Beato's butler, who called himself Ronove, appeared out of nowhere. ","Beato's butler, who called himself Ronove, appeared out of nowhere.",どこからともなく、あのロノウェとか名乗ったベアトの執事が現れる。,どこからともなく、あのロノウェとか名乗ったベアトの執事が現れる。,"Дворецкий Беато, назвавшийся Ронове, возник из ниоткуда.","O mordomo da Beato, que se denomina Ronove, apareceu repentinamente em meio ao nada.",那位自称为罗诺威的贝阿朵的管家凭空冒了出来。,那位自稱為羅諾威的貝阿朵的管家憑空冒了出來。,"Il maggiordomo di Beato, che diceva di chiamarsi Ronove, apparve dal nulla.","Beato's butler, who called himself Ronove, appeared out of nowhere in particular.","El mayordomo de Beato, que se llamaba a sí mismo Ronove, apareció de la nada.",ﻇﻬﺮ ﻣﻦ ﺍﻟﻌﺪﻡ ﺭﺋﻴﺲ ﺧﺪﻡ ﺑﻴـﺎﺗﻮ، ﺍﻟﻤﺪﻋﻮ ﺭﻭﻧﻮﻑ.,"Beato's butler, who called himself Ronove, appeared out of nowhere in particular.","Beato's butler, who called himself Ronove, appeared out of nowhere in particular.","Beato's butler, who called himself Ronove, appeared out of nowhere in particular."
,"Placed upon the silver tray that he held was a plate filled with delicious‐looking, steaming black tea and cookies.","A plate set on a silver tray that he held was filled with delicious-looking, steaming black tea and cookies. "," A plate set on a silver tray that he held was filled with delicious-looking, steaming black tea and cookies.",手に持つ銀のトレーには、美味しそうに湯気を立てる紅茶とクッキーを盛り付けた皿が置かれていた。,手に持つ銀のトレーには、美味しそうに湯気を立てる紅茶とクッキーを盛り付けた皿が置かれていた。,"Блюдо, стоявшее на серебряном подносе в его руке, было наполнено аппетитными, источающим пар чаем в чашках и печеньями.","Postos sobre uma bandeja de prata, com uma aparência deliciosa, o chá preto estava fumegando junto aos cookies.",他手端银托盘，盘上摆放着看起来味道不错的，冒着热气的红茶与盛着小甜饼的碟子。,他手端銀托盤，盤上擺放著看起來味道不錯的，冒著熱氣的紅茶與盛著小甜餅的碟子。,"Un piatto, posto su un vassoio argentato, era pieno di biscotti dall'aspetto delizioso e di tè nero bollente.","Placed upon the silver tray that he held was a plate filled with delicious‐looking, steaming black tea and cookies.",Sobre la bandeja de plata que sostenía había un plato lleno de galletas y un humeante té negro de aspecto delicioso.,ﻛﺎﻥ ﻳﺤﻤﻞ ﻃﺒﻘًﺎ ﻓﻀﻴًﺎ ﻣﻠﻴﺌًﺎ ﺑﺄﺻﻨﺎﻑ ﻛﻌﻚٍ ﻇﺎﻫﺮﻫﺎ ﻟﺬﻳﺬٌ، ﺑﺠﺎﻧﺐ ﺍﻟﺸﺎﻱ ﺍﻷﺳﻮﺩ ﺍﻟﺴﺎﺧﻦ.,"Placed upon the silver tray that he held was a plate filled with delicious‐looking, steaming black tea and cookies.","Placed upon the silver tray that he held was a plate filled with delicious‐looking, steaming black tea and cookies.","Placed upon the silver tray that he held was a plate filled with delicious‐looking, steaming black tea and cookies."
,"...I really don't like this guy's smile.{n}For some reason, it doesn't look like a smile used to warmly greet a guest.{n}It feels like he's making fun of me for some reason.","...I really don't like this guy's smile. For some reason, it doesn't look like a smile used to warmly greet a guest. It feels like he's mocking me somehow. ","...I really don't like this guy's smile. For some reason, it didn't look like a smile used to warmly greet a guest. It felt like he was making fun of me for some reason.",…どうもこいつの笑みは好かないぜ。何というのか、客を歓待する笑みじゃない。どこか小馬鹿にしたような、そんな笑いなのだ。,…どうもこいつの笑みは好かないぜ。{n}何というのか、客を歓待する笑みじゃない。{n}どこか小馬鹿にしたような、そんな笑いなのだ。,"...Мне совершенно не нравится улыбка этого типа.{n}Почему‐то она не была похожа на улыбку, тепло приветствующую гостя.{n}Казалось, что он почему‐то насмехается надо мной.","...Eu realmente não gosto do sorriso desse cara.{n}Por algum motivo, não me parece ser um sorriso de alguém que está cumprimentando calorosamente seu convidado.{n}Eu sinto como se ele estivesse debochando de mim por algum motivo.",…这家伙的笑脸怎么都喜欢不起来。{n}该怎么说呢，这不是欢迎客人的笑容。{n}而像是那种耍人般的笑容。,…這傢伙的笑臉怎麼都喜歡不起來。{n}該怎麼說呢，這不是歡迎客人的笑容。{n}而像是那種耍人般的笑容。,"... Non mi piace per niente il sorriso di questo tipo. Per qualche ragione, non sembrava un sorriso usato per accogliere calorosamente un ospite. Sembrava che si stesse prendendo gioco di me per qualche motivo.","...I really don't like this guy's smile.{n}For some reason, it doesn't look like a smile used to warmly greet a guest.{n}It feels like he's making fun of me for some reason.","... No me gusta para nada la sonrisa de este tipo.{n}Por alguna razón, no parece una sonrisa usada para saludar cordialmente a un invitado.{n}Siento como si se burlara de mí por alguna razón.",...ﺃﻛﺮﻩ ﺣﻘًﺎ ﺍﺑﺘﺴﺎﻣﺔ ﻫﺬﺍ ﺍﻟﺮﺟﻞ. ﻓﻠﺴﺒﺐٍ ﻣﺎ، ﺃﺷﻌﺮ ﺃﻥ ﺍﺑﺘﺴﺎﻣﺘﻪ ﺗﻠﻚ ﻻ ﻳﻘﺼﺪ ﺑﻬﺎ ﺍﻟﺘﺮﺣﻴﺐ ﺑﻲ.{n}ﺃﺷﻌﺮ ﻭﻛﺄﻧﻪ ﻳﺴﺨﺮ ﻣﻨﻲ ﺑﻄﺮﻳﻘﺔٍ ﻣﺎ.,"...I really don't like this guy's smile.{n}For some reason, it doesn't look like a smile used to warmly greet a guest.{n}It feels like he's making fun of me for some reason.","...I really don't like this guy's smile.{n}For some reason, it doesn't look like a smile used to warmly greet a guest.{n}It feels like he's making fun of me for some reason.","...I really don't like this guy's smile.{n}For some reason, it doesn't look like a smile used to warmly greet a guest.{n}It feels like he's making fun of me for some reason."
,"...I don't know whether he really takes me for an idiot, or whether it's just a joke or something, but it's really irritating me.","...I don't know if he really takes me for an idiot, or if it's just a joke or something, but it's really irritating me. ","...I don't know whether he really takes me for an idiot, or whether it's just a joke or something, but it's really irritating me.",…それが文字通り馬鹿にしているのか、それとも冗談程度のレベルなのかわからないのが、何ともイラつくが。,…それが文字通り馬鹿にしているのか、それとも冗談程度のレベルなのかわからないのが、何ともイラつくが。,"...Не знаю, действительно ли он держит меня за идиота, или же это просто какая‐то шутка, но это всерьёз раздражает.","...Eu não sei se ele está me tirando para idiota, ou se é só algum tipo de piada, mas isso está mesmo me irritando.",…虽然不知道，是就如字面意思地在耍我，还是仅仅在开玩笑，但总之看得上火。,…雖然不知道，是就如字面意思地在耍我，還是僅僅在開玩笑，但總之看得上火。,"... Non so se mi stia davvero prendendo per un idiota, o se sia solo uno scherzo o una cosa del genere, ma mi sta davvero irritando.","...I don't know whether he really takes me for an idiot, or whether it's just a joke or something, but it's really irritating me.","... No sé si él realmente me toma por idiota, o si es solo una broma o algo, pero me está irritando de verdad.",...ﻻ ﺃﻋﻠﻢ ﺣﻘًﺎ ﻣﺎ ﺇﺫﺍ ﻛﺎﻥ ﻳﻨﻈﺮ ﺇﻟﻲّ ﻛﺄﺣﻤﻖ،  ﺃﻭ ﺃﻧﻬﺎ ﻣﺰﺣﺔ ﺃﻭ ﺷﻲﺀٌ ﺁﺧﺮ، ﻟﻜﻨّﻪ ﻳﺰﻋﺠﻨﻲ ﺣﻘًﺎ.,"...I don't know whether he really takes me for an idiot, or whether it's just a joke or something, but it's really irritating me.","...I don't know whether he really takes me for an idiot, or whether it's just a joke or something, but it's really irritating me.","...I don't know whether he really takes me for an idiot, or whether it's just a joke or something, but it's really irritating me."
Ushiromiya Battler,"""......I don't want any. I'm busy right now. Leave me alone.""","""...I don't need any. I'm busy now. Leave me alone."" ","""......I don't need it. I'm busy now. Leave me alone.""",「……いらねぇよ。俺は今、取り込み中なんだ。放っておいてくれ。」,「……いらねぇよ。俺は今、取り込み中なんだ。放っておいてくれ」,"""...Они мне не нужны. Сейчас я занят. Оставь меня в покое.""","""......Não quero nada. Estou ocupado agora. Me deixe sozinho.""",「……不用。我正忙着呢。别来管我。」,「……不用。我正忙著呢。別來管我。」,"""... Non ne ho bisogno. Sono occupato ora. Lasciami da solo.""","""......I don't want any. I'm busy right now. Leave me alone.""","""... No quiero nada. Estoy ocupado ahora. Déjame en paz.""","""....ﻛﻼ ﻻ ﺃﺭﻳﺪ. ﺃﻧﺎ ﻣﺸﻐﻮﻝٌ ﺍﻵﻥ. ﺍﺗﺮﻛﻨﻲ ﻭﺷﺄﻧﻲ.""","""......I don't want any. I'm busy right now. Leave me alone.""","""......I don't want any. I'm busy right now. Leave me alone.""","""......I don't want any. I'm busy right now. Leave me alone."""
Ronove,"""Oh, my. That is a shame, when the cookies have turned out oh so very delicious. Cooked so wonderfully it is a shame to waste them on a simple {y:0:Human}{n:0:human}, truly wonderful cookies.""","""Oh, my. Such a shame, and the cookies were so delicious too. Cooked so wonderfully they would be wasted on a mere Human."" ","""Oh, my. Such a shame, the cookies were so delicious too. Cooked so wonderfully it would be a shame to waste them on a simple human, truly wonderful cookies.""",「おやおや。それはそれは美味しく焼けたクッキーなのに、とても残念です。ニンゲン如きには勿体無いくらいに素敵に焼きあがった、それはそれは素敵なクッキーなのに。」,「おやおや。それはそれは美味しく焼けたクッキーなのに、とても残念です。ニンゲン如きには勿体無いくらいに素敵に焼きあがった、それはそれは素敵なクッキーなのに」,"""М‐да. Какая жалость, печенье было таким вкусным. Приготовленным настолько чудесно, что было бы жаль тратить их на простого {y:0:Челове}{n:0:челове}ка, поистине чудесное печенье.""","""Ora, ora... É uma pena, quando os cookies são ainda mais deliciosos logo depois que saem do forno. Tendo sido assados de forma tão maravilhosa, é uma pena desperdiçá‐los com um mero {y:0:Humano}{n:0:humano}, são cookies realmente fabulosos.""",「哦呀哦呀。这可是烤得非常非常好吃的小甜饼哦，真是可惜啊。明明都已精心烤成了小小人类高攀不起的，非常非常美妙的小甜饼了呢。」,「哦呀哦呀。這可是烤得非常非常好吃的小甜餅哦，真是可惜啊。明明都已精心烤成了小小人類高攀不起的，非常非常美妙的小甜餅了呢。」,"""Oh, cielo. Che peccato, i biscotti sono così deliziosi. Cotti tanto meravigliosamente che sarebbe vergognoso sprecarli per un semplice umano, dei biscotti davvero ottimi.""","""Oh, my. That is a shame, when the cookies have turned out oh so very delicious. Cooked so wonderfully it is a shame to waste them on a simple {y:0:Human}{n:0:human}, truly wonderful cookies.""","""Oh, vaya. Qué pena, las galletas están muy deliciosas. Cocinadas tan maravillosamente que sería una pena desperdiciarlas en un simple humano, de verdad que son unas galletas maravillosas.""","""ﻳﺎ ﻟﻸﺳﻒ. ﺧﺴﺎﺭﺓ، ﺧﺼﻮﺻًﺎ ﻭﺃﻥ ﺍﻟﻜﻌﻚ ﻗﺪ ﺧﺮﺝ ﺷﻬﻴًﺎ ﺇﻟﻰ ﺣﺪ ﻻ ﻳُﻘﺎﻭَﻡ. ﻟﻘﺪ ﻃﺒﺨﺘﻪ ﺑﻌﻨﺎﻳﺔٍ ﺷﺪﻳﺪﺓٍ ﺑﺤﻴﺚ ﻳُﻌﺘﺒﺮ ﺇﻫﺪﺍﺭًﺍ ﺃﻥ ﻳُﻘﺪّﻡ ﻟﻤﺠﺮّﺩ ﺑﺸﺮﻱٍ ﻣﺜﻠﻚ.""","""Oh, my. That is a shame, when the cookies have turned out oh so very delicious. Cooked so wonderfully it is a shame to waste them on a simple {y:0:Human}{n:0:human}, truly wonderful cookies.""","""Oh, my. That is a shame, when the cookies have turned out oh so very delicious. Cooked so wonderfully it is a shame to waste them on a simple {y:0:Human}{n:0:human}, truly wonderful cookies.""","""Oh, my. That is a shame, when the cookies have turned out oh so very delicious. Cooked so wonderfully it is a shame to waste them on a simple {y:0:Human}{n:0:human}, truly wonderful cookies."""
Ushiromiya Battler,"""I'll eat some when I feel like it. Set it down somewhere over there and get out of here.""","""I'll eat some when I feel like it. Just set it down somewhere and get out of here."" ","""I'll eat some when I feel like it. Set it down over there and get out of here.""",「気が向いたら食ってやるぜ。その辺に置いて、とっとと失せな。」,「気が向いたら食ってやるぜ。その辺に置いて、とっとと失せな」,"""Съем когда захочется. Положи их вон там и уходи отсюда.""","""Eu vou comer quando sentir vontade. Deixe isso em algum lugar e dê o fora daqui.""",「兴致来了会吃的。放边上，快滚。」,「興致來了會吃的。放邊上，快滾。」,"""Ne mangerò un po' quando me ne avrò voglia. Poggiali lì e vai via.""","""I'll eat some when I feel like it. Set it down somewhere over there and get out of here.""","""Comeré algunas cuando me apetezca. Déjalas por ahí y vete de aquí.""","""ﺳﺄﺗﻨﺎﻭﻟﻪ ﺣﻴﻦ ﺃﺭﻳﺪ. ﺿﻌﻪ ﻫﻨﺎﻙ ﻭﺍﺭﺣﻞ.""","""I'll eat some when I feel like it. Set it down somewhere over there and get out of here.""","""I'll eat some when I feel like it. Set it down somewhere over there and get out of here.""","""I'll eat some when I feel like it. Set it down somewhere over there and get out of here."""
