Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,"""Good day to you.""","""Good day to you."" ","""Good day to you.""",「御機嫌よう。」,「御機嫌よう」,"""Добрый день.""","""Bom dia para você.""",「贵安。」,「貴安。」,"""Buongiorno a te.""","""Good day to you.""","""Buenos días.""","""ﻃﺎﺏ ﻳﻮﻣﻚِ.""","""Good day to you.""","""Good day to you.""","""Good day to you."""
Ushiromiya Ange,""".........G‐...good day to you.""","""......G-Good day to you."" ",""".........G, ...good day to you.""",「………ご、…御機嫌よう。」,「………ご、…御機嫌よう」,""".........Д... Добрый день.""",""".........Bo‐...Boa tarde pra você também.""",「………贵、…贵安。」,「………貴、…貴安。」,"""... B... Buongiorno a te.""",""".........G‐...good day to you.""","""... Bu-Buenos días.""",""".........ﻁ-ﻃﺎﺏ ﻳﻮﻣﻚِ.""",""".........G‐...good day to you.""",""".........G‐...good day to you.""",""".........G‐...good day to you."""
,"""Good day to you"" is the standard greeting used here.","""Good day to you"" is the standard greeting used here. ",'Good day to you' is the standard greeting used here.,“御機嫌よう”は、ここでは標準的な挨拶言葉。,“御機嫌よう”は、ここでは標準的な挨拶言葉。,"""Добрый день"" — это стандартное приветствие, которое здесь в ходу.","""Bom dia para você"" é o cumprimento padrão usado aqui.",“贵安”是这里的标准问候语。,“貴安”是這裡的標準問候語。,‘Buongiorno a te’ è il saluto che tipicamente viene usato qui.,"""Good day to you"" is the standard greeting used here.","""Buenos días"" es el saludo estándar aquí.",ﺗُﻌﺪ 'ﻃﺎﺏ ﻳﻮﻣﻚ' ﺍﻟﺘﺤﻴﺔ ﺍﻟﻤﻌﻴﺎﺭﻳﺔ ﺍﻟﻤﺘﺒﻌﺔ ﻫﻨﺎ.,"""Good day to you"" is the standard greeting used here.","""Good day to you"" is the standard greeting used here.","""Good day to you"" is the standard greeting used here."
,"No matter how many years pass by, this style of greeting still feels very awkward...","No matter how many years pass by, this style of greeting still feels very awkward... ","No matter how many years pass by, this style of greeting still feels very awkward...",何年をこの挨拶で過ごしても、未だに強い違和感を覚える…。,何年もこの挨拶で過ごしても、未だに強い違和感を覚える…。,"Но неважно, сколько пройдёт лет, от этого стиля приветствия всё равно чувствуешь себя неловко...","Não importa quanto tempo passe, esse estilo de cumprimento continua sendo desconfortável...",尽管已经在这句问候中度过了数年，但我还是对这么打招呼深感不自在…。,儘管已經在這句問候中度過了數年，但我還是對這麼打招呼深感不自在…。,"A dispetto del passare degli anni, salutarsi a quel modo mi faceva sentire ancora piuttosto a disagio...","No matter how many years pass by, this style of greeting still feels very awkward...","Sin importar cuántos años pasen, este estilo de saludo sigue resultando incómodo...",ﺃﺷﻌﺮ ﺑﺎﻟﻨﻔﻮﺭ ﻣﻨﻬﺎ ﻣﻊ ﺃﻧﻲ ﻗﻀﻴﺖ ﺳﻨﻴﻨًﺎ ﻭﺃﻧﺎ ﺃﺳﺘﺨﺪﻣﻬﺎ...,"No matter how many years pass by, this style of greeting still feels very awkward...","No matter how many years pass by, this style of greeting still feels very awkward...","No matter how many years pass by, this style of greeting still feels very awkward..."
,"I had responded to the greeting in order to stifle that awkward feeling, but the classmate who had spoken looked at me blankly.","Even though I'd responded to the greeting in order to stifle that awkward feeling, the classmate who had spoken looked at me blankly. ","Even though I had responded to the greeting in order to stifle that awkward feeling, the classmate who had spoken looked at me blankly.",そんな違和感を噛み殺して返した挨拶なのに、挨拶してきたクラスメートは、きょとんとしたような表情を見せる。,そんな違和感を噛み殺して返した挨拶なのに、挨拶してきたクラスメートは、きょとんとしたような表情を見せる。,"Хотя я и ответила на приветствие, подавив чувство неловкости, одноклассница, сказавшая это, безучастно посмотрела на меня.","Eu tenho que responder ao cumprimento para abafar este sentimento incômodo, mas as colegas de classe que falaram olharam para mim sem qualquer expressão.",而我强忍住不自在感所回的礼，换来的却是向我打招呼的那位同学的一脸诧异。,而我強忍住不自在感所回的禮，換來的卻是向我打招呼的那位同學的一臉詫異。,"Nonostante avessi ricambiato il saluto per attenuare quella sensazione di disagio, la compagna di classe che mi aveva rivolto la parola mi fissava senza espressione.","I had responded to the greeting in order to stifle that awkward feeling, but the classmate who had spoken looked at me blankly.","Aunque había respondido a ese saludo con el fin de ahogar esa incómoda sensación, la compañera que me habló me miró vacíamente.",ﻭﺭﻏﻢ ﺃﻧﻲ ﻛﺘﻤﺖ ﺫﻟﻚ ﺍﻟﻨﻔﻮﺭ ﻭﺭﺩﺩﺕ ﺍﻟﺘﺤﻴﺔ، ﺇﻻ ﺃﻥ ﺯﻣﻴﻠﺘﻲ ﻓﻲ ﺍﻟﻔﺼﻞ ﺍﺣﺘﺎﺭﺕ ﻭﺍﺳﺘﻐﺮﺑﺖ.,"I had responded to the greeting in order to stifle that awkward feeling, but the classmate who had spoken looked at me blankly.","I had responded to the greeting in order to stifle that awkward feeling, but the classmate who had spoken looked at me blankly.","I had responded to the greeting in order to stifle that awkward feeling, but the classmate who had spoken looked at me blankly."
,"""......Oh? *giggle*giggle*giggle*.""","""...Huh? *giggle*giggle*giggle*"" ","""......Huh?  *giggle*giggle*giggle*""",「……え？　くすくすくすくす。」,「……え？　くすくすくすくす」,"""......Хм? *хи‐хи*хи‐хи*хи‐хи*""","""......Ora? *risos*risos*risos*.""",「……哎？呵呵呵呵。」,「……哎？呵呵呵呵。」,"""... Huh? *giggle*giggle*giggle*""","""......Oh? *giggle*giggle*giggle*.""","""... ¿Oh? *risita*risita*risita*.""","""......ﺃﻭﻩ? *ﺿﺤﻚ*ﺿﺤﻚ*ﺿﺤﻚ*.""","""......Oh? *giggle*giggle*giggle*.""","""......Oh? *giggle*giggle*giggle*.""","""......Oh? *giggle*giggle*giggle*."""
,"""Ohhh? What's this? I think you must be mistaken, *giggle*giggle*...""","""Huuuh, what's that? It seems you're mistaken, *giggle*giggle*..."" ","""Hu-h, what's that?  It seems you're mistaken, *giggle*giggle*...""",「えー、何なにぃ？　違うわよねぇ、くすくす…。」,「えー、何なにぃ？　違うわよねぇ、くすくす…」,"""Хм, что? Кажется, ты обозналась *хи‐хи*хи‐хи*...""","""Ohhh? O que é isso? Acredito que você tenha se enganado, *risos*risos*...""",「哎——，怎么？不是你吧，嘻嘻…」,「哎——，怎麼？不是你吧，嘻嘻…」,"""Huh, cosa cosa? Pare che tu abbia frainteso, *giggle*giggle*...""","""Ohhh? What's this? I think you must be mistaken, *giggle*giggle*...""","""¿Ohhh, qué es eso? Parece que te has equivocado, *risita*risita*...""","""ﻫﺂﺁﺁﻩ، ﻣﺎﺫﺍ ﻗﻠﺖِ؟ ﻏﻴﺮ ﺻﺤﻴﺢ، ﻛﻼ، *ﺿﺤﻚ*ﺿﺤﻚ*...""","""Ohhh? What's this? I think you must be mistaken, *giggle*giggle*...""","""Ohhh? What's this? I think you must be mistaken, *giggle*giggle*...""","""Ohhh? What's this? I think you must be mistaken, *giggle*giggle*..."""
,"Their choice of words and manner were certainly what you would expect of a school for rich girls, but at their core, they were as innocent and cruel as any children of that age.","Their choice of words and manner were certainly what you'd expect from a school for rich girls, but the actual meaning was as innocent and cruel as you'd expect from kids of that age. ","Their choice of words and manner were certainly what you would expect of a school for rich girls, but the actual meaning was as innocent and cruel as you would expect from kids of that age.",彼女らの言葉遣いや振る舞いなどは、確かにお嬢様学校らしいものだが、本質的な部分はみんな歳相応に無邪気で残酷だ。,彼女らの言葉遣いや振る舞いなどは、確かにお嬢様学校らしいものだが、本質的な部分はみんな歳相応に無邪気で残酷だ。,"Подобранные ими слова и манера, в которой они были сказаны, вполне сочетались со школой для богатеньких девочек, но истинное их значение содержало в себе те невинность и жестокость, что присуща детям их возраста.","Suas escolhas de palavras e modos certamente eram o que você esperaria de uma escola para garotas ricas, mas no fundo, elas eram inocentes e cruéis, como qualquer criança daquela idade.",她们的语调举止的的确确符合贵小姐学校的风范，但其本质部分却全是与这个年纪相匹配的，无邪的残酷。,她們的語調舉止的的確確符合貴小姐學校的風範，但其本質部分卻全是與這個年紀相匹配的，無邪的殘酷。,"Il loro linguaggio e le loro maniere erano senza dubbio ciò che ti saresti aspettato di trovare in una scuola per ragazze ricche, ma il significato che vi si nascondeva dietro era innocente e crudele come si addice ragazzine di quell'età.","Their choice of words and manner were certainly what you would expect of a school for rich girls, but at their core, they were as innocent and cruel as any children of that age.","Su elección de palabras y modales eran ciertamente lo que uno esperaría de una escuela de niñas ricas, pero el significado real era tan inocente y cruel como uno esperaría de las chicas de esa edad.",ﺗﺼﺮﻓﺎﺗﻬﻦ ﻭﺃﺳﻠﻮﺏ ﺣﺪﻳﺜﻬﻦ ﻫﻲ ﻣﺎ ﺗﺘﻮﻗﻌﻪ ﻣﻦ ﻓﺘﻴﺎﺕٍ ﻓﻲ ﻣﺪﺭﺳﺔ ﻟﻸﻏﻨﻴﺎﺀ. ﻟﻜﻦ ﻓﻲ ﺍﻟﺤﻘﻴﻘﺔ، ﻏﺎﻟﺒﻴﺔ ﺍﻟﻔﺘﻴﺎﺕ ﻓﻲ ﻣﺜﻞ ﻋﻤﺮﻫﻦّ ﻳﺴﺘﻤﺘﻌﻦّ ﺑﺎﻷﻣﻮﺭ ﺍﻟﻠﺌﻴﻤﺔ.,"Their choice of words and manner were certainly what you would expect of a school for rich girls, but at their core, they were as innocent and cruel as any children of that age.","Their choice of words and manner were certainly what you would expect of a school for rich girls, but at their core, they were as innocent and cruel as any children of that age.","Their choice of words and manner were certainly what you would expect of a school for rich girls, but at their core, they were as innocent and cruel as any children of that age."
,"......It seems they found it funny that I'd mistakenly thought the greeting had been directed at me. No, it might be the opposite.","...It seems they found it funny that I'd mistakenly thought the greeting was directed at me. No, it might be the opposite. ","......It seems they found it funny that I'd mistakenly thought the greeting was directed at me.  No, it might be the opposite.",……私が、自分に掛けられた挨拶だと誤解したことが面白かったらしい。いや、その逆かもしれない。,……私が、自分に掛けられた挨拶だと誤解したことが面白かったらしい。いや、その逆かもしれない。,".....По‐видимому, они нашли смешным то, что я ошиблась, посчитав, будто приветствие обращено ко мне. Нет, быть может, как раз напротив.","......Parece que elas acham engraçado que eu tenha me confundido pensando que o cumprimento era para mim. Não, talvez possa ter sido o contrário.",……她们看似是因我将此误会成是向自己打的招呼，而感到很有趣吧。不，也许正相反。,……她們看似是因我將此誤會成是向自己打的招呼，而感到很有趣吧。不，也許正相反。,"... A quanto pare, trovavano divertente il fatto che avessi erroneamente creduto che il saluto fosse indirizzato a me. No, forse era il contrario.","......It seems they found it funny that I'd mistakenly thought the greeting had been directed at me. No, it might be the opposite.","... Parece que encontraron gracioso que yo erróneamente pensara que ese saludo estaba dirigido a mí. No, puede ser al revés.",......ﺇﺫ ﺃﻧﻬﻦّ ﺍﺭﺗﺄﻳﻨﻪ ﺣﺪﺛًﺎ ﻣﻀﺤﻜًﺎ ﺑﻌﺪﻣﺎ ﻇﻨﻨﺖُ ﺧﻄﺄً ﺃﻥ ﺍﻟﺘﺤﻴﺔ ﻛﺎﻧﺖ ﻣﻮﺟﻬﺔً ﺇﻟﻲّ. ﺃﻭ ﺭﺑﻤﺎ ﻛﺎﻥ ﺍﻟﻌﻜﺲ.,"......It seems they found it funny that I'd mistakenly thought the greeting had been directed at me. No, it might be the opposite.","......It seems they found it funny that I'd mistakenly thought the greeting had been directed at me. No, it might be the opposite.","......It seems they found it funny that I'd mistakenly thought the greeting had been directed at me. No, it might be the opposite."
,...Maybe I should say that they didn't know what to do after being greeted by an introverted kid like me.,"...Maybe they didn't know how to react after being suddenly greeted by a gloomy, quiet kid like me. ",...Maybe I should say that they didn't know what to do after being greeted by an introverted kid like me.,…私みたいな根暗な子に突然挨拶をされて、対応に困った、というべきか。,…私みたいな根暗な子に突然挨拶をされて、対応に困った、というべきか。,"...Наверное, правильнее будет сказать, они просто не знали, как им следует поступить после приветствия столь замкнутого ребёнка, вроде меня.",...Talvez eu deva dizer que elas não sabem o que fazer depois de cumprimentar uma criança introvertida como eu.,…该说是，因为突然被我这种阴沉沉的人打招呼，而不知如何应对么？,…該說是，因為突然被我這種陰沉沉的人打招呼，而不知如何應對麼？,... Forse dovrei dire che non sapevano come reagire dopo essere state salutate da una ragazzina introversa come me.,...Maybe I should say that they didn't know what to do after being greeted by an introverted kid like me.,... Tal vez deba decir que ellas no sabían qué hacer después de que las saludara una introvertida como yo.,...ﺭﺑﻤﺎ ﺍﺭﺗﺒﻜﻦّ ﻓﻲ ﺭﺩﺓ ﻓﻌﻠﻬﻦّ ﺑﻌﺪﻣﺎ ﺣﻴّﺘﻬﻦ ﻓﺘﺎﺓٌ ﻛﺌﻴﺒﺔٌ ﻭﻫﺎﺩﺋﺔٌ ﻣﺜﻠﻲ.,...Maybe I should say that they didn't know what to do after being greeted by an introverted kid like me.,...Maybe I should say that they didn't know what to do after being greeted by an introverted kid like me.,...Maybe I should say that they didn't know what to do after being greeted by an introverted kid like me.
